"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"angina","80+","Male",0.0783786760716648,0.050020969489976,0.106736382653354
"angina","18-24","Both",0.00176342873161653,-0.000482807933459089,0.00400966539669216
"angina","25-29","Both",0.00238034624845851,-0.00158854939856521,0.00634924189548222
"angina","30-34","Both",0.00424729069681849,0.000183065979979673,0.00831151541365731
"angina","35-39","Both",0.00531240469783442,0.000477788765535703,0.0101470206301331
"angina","40-44","Both",0.00262812511257132,0.000143110138635934,0.0051131400865067
"angina","45-49","Both",0.00849783394928262,0.00141943739044644,0.0155762305081188
"angina","50-54","Both",0.0203276727745303,0.0110605336013748,0.0295948119476859
"angina","55-59","Both",0.0341541038564188,0.0207957995870184,0.0475124081258192
"angina","60-64","Both",0.0415986169131056,0.0293184650891121,0.0538787687370991
"angina","65-69","Both",0.0408494175506336,0.0240854507426255,0.0576133843586418
"angina","70-74","Both",0.0384455751349076,0.0253961256259172,0.051495024643898
"angina","75-79","Both",0.0570626518962251,0.0267955288008541,0.0873297749915961
"angina","80+","Both",0.0763075589028595,0.0566782795865682,0.0959368382191507
"heart_attack","18-24","Female",0.00174390366203836,-0.00163640596699678,0.0051242132910735
"heart_attack","25-29","Female",0,0,0
"heart_attack","30-34","Female",0.00104949559264914,-0.00100480999670492,0.00310380118200319
"heart_attack","35-39","Female",0.00912373814844858,0.00260897484529668,0.0156385014516005
"heart_attack","40-44","Female",0.00742983410350259,0.00243159065372706,0.0124280775532781
"heart_attack","45-49","Female",0.00378789735926689,0.00153609824018814,0.00603969647834564
"heart_attack","50-54","Female",0.0219278343443706,0.00657917306909936,0.0372764956196418
"heart_attack","55-59","Female",0.0373373769723143,0.0234281413630923,0.0512466125815364
"heart_attack","60-64","Female",0.0273733034296099,0.0099352631528211,0.0448113437063988
"heart_attack","65-69","Female",0.046490927002727,0.0228792921206441,0.0701025618848098
"heart_attack","70-74","Female",0.0325158378202136,0.0116762329953598,0.0533554426450674
"heart_attack","75-79","Female",0.0740107022503633,0.0473637104322435,0.100657694068483
"heart_attack","80+","Female",0.0886003027915335,0.0687858956822199,0.108414709900847
"heart_attack","18-24","Male",0.0005976406551145,-0.0005590809954063,0.0017543623056353
"heart_attack","25-29","Male",0.00490314132140263,-0.00447445360383518,0.0142807362466404
"heart_attack","30-34","Male",0.00456668350264009,0.000311837370358204,0.00882152963492197
"heart_attack","35-39","Male",0.00899355097459868,0.00452278513660073,0.0134643168125966
"heart_attack","40-44","Male",0.0146457130216411,0.00399622573235541,0.0252952003109268
"heart_attack","45-49","Male",0.00608952506520277,0.00183762047862072,0.0103414296517848
"heart_attack","50-54","Male",0.0327263263357774,0.0150796664828646,0.0503729861886903
"heart_attack","55-59","Male",0.0644048075733403,0.0351844196773698,0.0936251954693108
"heart_attack","60-64","Male",0.108479626658694,0.0753860955310353,0.141573157786354
"heart_attack","65-69","Male",0.0936649100806717,0.0643960468463226,0.122933773315021
