age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Chronic respiratory,Diabetes & kidney disease,Digestive
85,0.03536552201537739,0.31765927464214194,0.18040000988899602,0.1970506069371307,0.04613216643180301,0.04992706865435487,0.08159657840737719,0.06248609359934733,0.02938267942347153
86,0.035450626765099344,0.3261160382500124,0.17035376306792846,0.2036986572858346,0.04610315612148838,0.049497101521082096,0.07822177079720558,0.06142545706782936,0.029133429123519794
87,0.036042719191660806,0.33297947176568393,0.16408518257977872,0.21085886039521648,0.046262070729679604,0.04915265076421309,0.07405512566349044,0.059985930805141655,0.026577988105135255
88,0.03488582118436331,0.3407431299187202,0.15218681460456715,0.2173784027867372,0.04489743258934331,0.04952909302025545,0.07326796542381628,0.059760030963746616,0.027351309508450522
89,0.035772987852952576,0.34574318816564886,0.14024561356620743,0.22514131466064438,0.04651691098846766,0.04993786163858191,0.07028984538906632,0.06020071358892467,0.026151564149506232
90,0.03472953669903473,0.35814564185435815,0.13031872682413032,0.22674477325522674,0.0473978097450474,0.04951880762404952,0.06699179015106699,0.060282511146060286,0.02587040270102587
91,0.03484846199103897,0.36799070707680237,0.12062697059755306,0.23147826874047703,0.0465249596451793,0.05153348318674853,0.06575950035451898,0.055817882842789684,0.02541976556489206
92,0.03453714432856959,0.3771887472640659,0.11165829792712759,0.23561220548474315,0.04776619029226214,0.04935946955066306,0.0643427320715849,0.055426805716492854,0.024108407364490794
93,0.03404778636683064,0.38172874209416724,0.10439212930428672,0.2402143359100492,0.04869992972593113,0.05061489810260014,0.05975052705551651,0.05585031623330991,0.0247013352073085
94,0.03411530815109344,0.394493041749503,0.09407554671968191,0.24244532803180915,0.04624254473161034,0.05017892644135189,0.05970178926441352,0.05588469184890656,0.02286282306163022
95,0.03336616019508535,0.3975801913337085,0.08748358656912399,0.24606077658975803,0.05034233727255674,0.052452635528043516,0.056626336522228475,0.05383605327330707,0.02225192271618833
96,0.03264689730917079,0.4025809994508512,0.08168588687534321,0.25414607358594177,0.05024711696869852,0.0514277869302581,0.05494233937397035,0.05159253157605711,0.02073036792970895
97,0.03226480108593505,0.4095924262991194,0.07281333751000661,0.2531412063624656,0.051581915004698754,0.052173610385994225,0.055723782673767014,0.051581915004698754,0.021127005673314537
98,0.03079113642431254,0.41652576310403133,0.06603185903710955,0.26016730444068703,0.05165969564830471,0.052282637714692534,0.04952389427783216,0.05121473702945626,0.021802972323573908
99,0.02979460234057798,0.41610938619536664,0.06388822545975639,0.26009075710532603,0.05349892524480535,0.05648435634105565,0.04842369238117984,0.0520062096966802,0.019703845235251972
100,0.025870484868206964,0.4288154897494305,0.055239179954441914,0.2607386918320859,0.05987634233647901,0.05580865603644647,0.0443377806703547,0.05109013992840872,0.018223234624145785
101,0.029404761904761906,0.42904761904761907,0.049166666666666664,0.25797619047619047,0.056428571428571425,0.0575,0.04642857142857143,0.0530952380952381,0.02095238095238095
102,0.02516602586508214,0.42555050681579865,0.04648724222299895,0.27036001398112547,0.05907025515554002,0.06151695211464523,0.04508912967493883,0.048409646976581615,0.01835022719328906
103,0.023289665211062592,0.42969432314410483,0.04512372634643377,0.2622998544395924,0.06375545851528384,0.06666666666666667,0.04395924308588064,0.05298398835516739,0.01222707423580786
104,0.022908366533864542,0.4203187250996016,0.038346613545816734,0.27191235059760954,0.05727091633466135,0.07420318725099602,0.04083665338645418,0.055776892430278883,0.018426294820717132
105,0.026326447954637504,0.43013365735115433,0.04171729445119481,0.2729850141757797,0.07290400972053462,0.060753341433778855,0.03645200486026731,0.04576751721344674,0.012960712839206157
