age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Diabetes & kidney disease,Chronic respiratory,Digestive
60,0.13413562895291636,0.30266163035839777,0.23827301475755447,0.03087666900913563,0.06421293042867182,0.043438158819395646,0.06772663387210119,0.05081693605059733,0.0678583977512298
61,0.12478653330080508,0.30047979181914286,0.25026429210376516,0.03187769374644222,0.06456859396600798,0.04431975278523217,0.07050500121980971,0.04980889647881597,0.06338944457997886
62,0.11221606961238557,0.30037292349418016,0.2601423889705051,0.03518288318830753,0.06234226089576977,0.04403510754510868,0.06539345312087995,0.05740761667985083,0.0629072964930124
63,0.10300444074382459,0.30016652789342213,0.2634263114071607,0.03493616430752151,0.06293366638912018,0.04301970580072162,0.06817235636969192,0.06119900083263947,0.06314182625589786
64,0.0963398823177421,0.3050762940061833,0.2708021674811343,0.036002792460357036,0.05963897476812606,0.044945314318008044,0.06635417705528407,0.06086898706824906,0.05997141052491606
65,0.08723629029676346,0.30380638345551747,0.273841918237987,0.03896020744629766,0.059448730671959535,0.04485065787367545,0.06812433972532574,0.06639562057816051,0.05733585171431316
66,0.0783795414028401,0.30457367676891867,0.27884674494375117,0.04155652548103522,0.05790864941292186,0.0454908710887072,0.06771377635704186,0.07057232433761604,0.05495789020716789
67,0.07490866578985825,0.305801549028204,0.28475814701154467,0.045857080227970186,0.05497588776852258,0.044103463393248575,0.0661990355107409,0.07096302791173462,0.05243314335817624
68,0.06741476294340489,0.3046435541269659,0.28509929973596604,0.04769831247847549,0.054040867868212605,0.04554586155435656,0.06836184135001722,0.07553667776374699,0.05165882217885432
69,0.06220229756234239,0.3044270103670496,0.2876435976463996,0.0533202577752872,0.05446903894648361,0.043961894087979826,0.06920706080134491,0.07677220509946764,0.04799663771364528
70,0.056759239247892807,0.30219364599092285,0.28917224983790796,0.0605954181975362,0.05086989409984871,0.04498054895180462,0.068132699373244,0.08088394207910093,0.04641236222174195
71,0.05299386079145295,0.30393068806973716,0.2854599091078215,0.06598984771573604,0.052116830999016664,0.043505993036914985,0.06723895075344832,0.08291918037579397,0.045844739150078404
72,0.048730964467005075,0.30631263829233374,0.28522712482103346,0.0733827931797475,0.04865286997266693,0.04430560978784329,0.06572953273460888,0.08444617987765196,0.0432122868671092
73,0.04739140546267345,0.30013695444326727,0.28049820408796095,0.08090648337166335,0.04832166205845112,0.04545337088813665,0.07020853252022016,0.08573864957750846,0.041344737590118606
74,0.045011918648881676,0.3043312877212558,0.27514327737485417,0.0849267129887914,0.04767459552670285,0.045011918648881676,0.07224729928488106,0.08779226048587513,0.037860729319876246
75,0.04453334610962054,0.29805481027213493,0.2745783825220391,0.09407339977002684,0.04553947872748179,0.046018589497891914,0.06920755078574166,0.0899051360674588,0.03808930624760445
76,0.04398980474261527,0.30217104364844566,0.2640071002685358,0.10365936916844933,0.04578762914751263,0.04535524099949934,0.07002412270720496,0.08882162851030904,0.036184060807427976
77,0.04289000992042552,0.30464149270743185,0.2627646326276463,0.11047554720645039,0.0462038541908521,0.04468412942989214,0.06606581252506491,0.08710977900669101,0.035164742385545726
78,0.0422893805535046,0.30384194312192886,0.2533543804262036,0.11803345469358657,0.04287496499223464,0.045471904677037454,0.0691498841561219,0.09000178221350918,0.03498230516587316
79,0.043571732120090995,0.3054270929680274,0.2445566582506312,0.1278404119691023,0.043846711496637755,0.045621578381621376,0.0648701347398945,0.09171812114091443,0.03254755893308002
80,0.04179965482185498,0.3039695486677542,0.23604510958223987,0.13648722131593258,0.04562971369127834,0.047568385464690166,0.06674232215050713,0.0907865806085538,0.030971463697188926
81,0.04161029167128757,0.31300876122879007,0.23131862038371964,0.1417988244427193,0.04291893090828435,0.046867028945325497,0.06467783076411224,0.08787845181324165,0.029921259842519685
82,0.04070766879954159,0.3138668704039729,0.22027504536338458,0.150272180307516,0.04548276191385732,0.04744055009072677,0.06389074586954446,0.08833922261484099,0.029724954636615415
83,0.04046934256407646,0.3151263712489501,0.2167018758431113,0.156456005497722,0.04650156532362748,0.047137875741301634,0.0644709715187457,0.08440021380030034,0.028735778462164983
84,0.0402126184423388,0.3232416608889916,0.2070461957219526,0.1630845081272629,0.041779010348458004,0.04709447140692807,0.06455588937678144,0.0844567701512467,0.028528875536039854
85,0.04068869874663108,0.32679174189496824,0.198079388753696,0.16953188371667058,0.043488499882251355,0.04880027213020383,0.06504958526310281,0.08059240652065834,0.02697752309181778
86,0.04030199914929817,0.33206614206720547,0.18912165036154827,0.17394193960017015,0.04450233943002978,0.04827732879625691,0.06558379413015739,0.07898234793704806,0.027222458528285837
87,0.040758562128502686,0.34033399377299745,0.1845174073025757,0.17851684121143505,0.044324936314746675,0.049051797339371636,0.06275120294367394,0.07458250778375318,0.025162751202943673
88,0.03811757806773201,0.3478668816889019,0.17504764697258465,0.18237795044714852,0.04216390558569125,0.04852660900161267,0.06330450080633339,0.07679225919953087,0.025802668230464742
89,0.04177003225006202,0.3514636566608782,0.1639171421483503,0.18475564376085338,0.046700570578020344,0.050204663855122796,0.06450012403870008,0.07175638799305384,0.024931778714959066
90,0.03878833932025422,0.3642235424150318,0.1549806576402321,0.18589389334070186,0.04631804365846919,0.049530256977065486,0.06507322464769273,0.07118679193147279,0.024005250069079855
91,0.039047406746916334,0.37074602466934165,0.14664140288304353,0.19074156635458464,0.044397384455342546,0.05238519839500669,0.06323376430375985,0.06928964184871451,0.023517610343290238
92,0.03855629465385563,0.3861378007719471,0.1358709041635871,0.19085160548575184,0.04701486408803482,0.04898579288823191,0.0607703046727437,0.06992691139032603,0.021885521885521887
93,0.03611898016997167,0.3910292728989613,0.13125590179414542,0.19107648725212464,0.04749763928234183,0.054390934844192634,0.06048158640226629,0.06515580736543909,0.02299338999055713
94,0.03826116183967285,0.3984650719847628,0.12027337404066998,0.19220211752842978,0.04750434149347375,0.04980113158926671,0.06509439247101002,0.06671895131925382,0.02167945773346031
95,0.03574462061155153,0.40331257078142696,0.11317950169875425,0.18891562853907135,0.05336919592298981,0.05549263873159683,0.06143827859569649,0.06695922989807475,0.021588335220838053
96,0.033114323258869906,0.41778361804643016,0.11099430573806394,0.19316688567674112,0.051073149364870785,0.05352606219886115,0.057030223390275955,0.06281208935611038,0.02049934296977661
97,0.03762679877329559,0.4256900212314225,0.10450577966501533,0.1830620429346544,0.05390422269403161,0.05531965086105214,0.05543760320830385,0.06487379098844066,0.01958008964378391
98,0.03546099290780142,0.44132817537072855,0.09606705351386202,0.18584784010315925,0.04803352675693101,0.05609284332688588,0.0551257253384913,0.061895551257253385,0.02014829142488717
99,0.031140248185436665,0.4387731210489347,0.09365488176071178,0.1856708030906111,0.05572465464762351,0.060875673144462655,0.05572465464762351,0.05502224303441817,0.023413720440177945
100,0.026288481494292634,0.4555517122103078,0.08509166378415774,0.1781390522310619,0.05845728121757177,0.059494984434451746,0.061224489795918366,0.05569007263922518,0.020062262193012798
101,0.0379746835443038,0.4572784810126582,0.07172995780590717,0.17563291139240506,0.047995780590717296,0.05590717299578059,0.06645569620253164,0.06434599156118144,0.02267932489451477
102,0.022033898305084745,0.4533898305084746,0.06864406779661017,0.1847457627118644,0.06694915254237288,0.0635593220338983,0.059322033898305086,0.06016949152542373,0.0211864406779661
103,0.026101141924959218,0.43882544861337686,0.0636215334420881,0.19086460032626426,0.06199021207177814,0.07504078303425775,0.06199021207177814,0.06199021207177814,0.01957585644371941
104,0.03184713375796178,0.445859872611465,0.07961783439490445,0.1910828025477707,0.03184713375796178,0.10191082802547771,0.07006369426751592,0.03184713375796178,0.01592356687898089
105,0.041176470588235294,0.4676470588235294,0.06470588235294118,0.16470588235294117,0.07941176470588235,0.058823529411764705,0.06470588235294118,0.04411764705882353,0.014705882352941176
