sex,cause,age,val,upper,lower
Both,Skin and subcutaneous diseases,6,24150.200671720646,29269.87959242019,20493.265939756126
Both,Skin and subcutaneous diseases,7,24863.66683693297,29799.123140845928,21212.7715379905
Both,Skin and subcutaneous diseases,8,25850.09395276042,30744.127076009154,22184.04390064701
Both,Skin and subcutaneous diseases,9,27206.609440177075,32066.561483537578,23506.56705683828
Both,Skin and subcutaneous diseases,10,28594.68247518564,33428.965802477156,24884.336465735538
Both,Skin and subcutaneous diseases,11,29675.782233788806,34493.87947187387,26021.347586509986
Both,Skin and subcutaneous diseases,12,30111.37789198926,34923.84193077367,26621.59587833286
Both,Skin and subcutaneous diseases,13,30073.069295380385,34649.88024374578,26838.79947233812
Both,Skin and subcutaneous diseases,14,29970.84710237067,33980.41011188567,27019.505311509773
Both,Skin and subcutaneous diseases,15,29823.766708185492,33144.0539290287,27156.952072794124
Both,Skin and subcutaneous diseases,16,29650.883508050232,32369.434089010203,27244.378433137448
Both,Skin and subcutaneous diseases,17,29471.252897190257,31885.17298566553,27275.023069486047
Both,Skin and subcutaneous diseases,18,29210.076126878925,31629.72526098111,27066.356785872922
Both,Skin and subcutaneous diseases,19,28842.73670035965,31400.73732392169,26568.767955718544
Both,Skin and subcutaneous diseases,20,28463.563390812902,31215.619218790056,25974.871610050413
Both,Skin and subcutaneous diseases,21,28166.88497141917,31091.780989889026,25477.282779896035
Both,Skin and subcutaneous diseases,22,28047.030215358933,31046.63268152139,25268.61649628291
Both,Skin and subcutaneous diseases,23,28195.814284236876,31190.226963956782,25450.59333516887
Both,Skin and subcutaneous diseases,24,28581.661350675437,31565.560279406134,25914.972831318442
Both,Skin and subcutaneous diseases,25,29113.813704381697,32089.45833008422,26539.428453969165
Both,Skin and subcutaneous diseases,26,29701.513635062747,32678.7468182058,27201.633672358577
Both,Skin and subcutaneous diseases,27,30254.00343242568,33250.25144598564,27779.26195572421
Both,Skin and subcutaneous diseases,28,30811.86354419747,33870.3666110613,28278.717657139932
Both,Skin and subcutaneous diseases,29,31439.82908092533,34604.776036729454,28781.59670720149
Both,Skin and subcutaneous diseases,30,32083.37432654672,35369.23941369355,29278.359941429255
Both,Skin and subcutaneous diseases,31,32687.973564999087,36079.51643265703,29759.468195343594
Both,Skin and subcutaneous diseases,32,33199.10108021988,36651.36678432333,30215.38230446488
Both,Skin and subcutaneous diseases,33,33614.43037617692,37085.24142117444,30645.77998217598
Both,Skin and subcutaneous diseases,34,33981.45819892816,37456.39935562973,31058.680501173072
Both,Skin and subcutaneous diseases,35,34320.393695546285,37792.81236829866,31457.057035946505
Both,Skin and subcutaneous diseases,36,34651.44601310396,38122.45223979074,31843.882760986617
Both,Skin and subcutaneous diseases,37,34994.82429867387,38473.290750715474,32222.13085078375
Both,Skin and subcutaneous diseases,38,35331.62200737913,38825.92655364794,32571.265669122007
Both,Skin and subcutaneous diseases,39,35648.37545668974,39161.75723036082,32889.956815576974
Both,Skin and subcutaneous diseases,40,35973.45808719874,39509.95295525993,33209.98531832622
Both,Skin and subcutaneous diseases,41,36335.24333949918,39899.6839027511,33563.13220554731
Both,Skin and subcutaneous diseases,42,36762.10465418408,40360.12024724017,33981.178505417796
Both,Skin and subcutaneous diseases,43,37274.822960447746,40921.64214434454,34480.93177536768
Both,Skin and subcutaneous diseases,44,37876.85966534997,41591.15956639306,35060.9006712326
Both,Skin and subcutaneous diseases,45,38570.60892628201,42362.63741285872,35725.41786879862
Both,Skin and subcutaneous diseases,46,39358.464900635096,43230.04058321454,36478.81604385181
Both,Skin and subcutaneous diseases,47,40242.82174580049,44187.33397693352,37325.42787217823
Both,Skin and subcutaneous diseases,48,41370.04748291354,45344.3556967304,38440.469123950454
Both,Skin and subcutaneous diseases,49,42787.615944039026,46746.68018575026,39867.089516509106
Both,Skin and subcutaneous diseases,50,44349.58000296233,48291.87685411158,41411.52264639235
Both,Skin and subcutaneous diseases,51,45909.99253346878,49877.51511193288,42880.002110138346
Both,Skin and subcutaneous diseases,52,47322.90640934378,51401.16436933266,44078.76150428522
Both,Skin and subcutaneous diseases,53,48597.24285713367,52900.87568299727,44983.13707602287
Both,Skin and subcutaneous diseases,54,49834.386998386544,54445.005602987316,45751.31923526361
Both,Skin and subcutaneous diseases,55,51027.08754939028,55976.58177948271,46463.82282262918
Both,Skin and subcutaneous diseases,56,52168.0932264328,57438.63186266336,47201.1626787414
Both,Skin and subcutaneous diseases,57,53250.15274580199,58774.18350270917,48043.85364422202
Both,Skin and subcutaneous diseases,58,54178.9672101574,59881.61546937259,48948.29288210814
Both,Skin and subcutaneous diseases,59,54964.913400497324,60810.45962084128,49870.860061520434
Both,Skin and subcutaneous diseases,60,55757.75355061775,61730.47323994799,50892.0437822061
Both,Skin and subcutaneous diseases,61,56707.24989431471,62811.41360952544,52092.33264391232
Both,Skin and subcutaneous diseases,62,57963.16466538418,64223.03801240637,53552.21524638628
Both,Skin and subcutaneous diseases,63,60014.33851890605,66395.32183553584,55637.09135056559
Both,Skin and subcutaneous diseases,64,63011.27037499373,69431.72630330021,58473.97040918733
Both,Skin and subcutaneous diseases,65,66596.20986499361,73012.2374546942,61785.755559697944
Both,Skin and subcutaneous diseases,66,70411.40662025205,76816.84132871247,65295.349939543834
Both,Skin and subcutaneous diseases,67,74099.11027211543,80525.52396434978,68725.65668617144
Both,Skin and subcutaneous diseases,68,78103.79872153862,84579.66318447598,72497.79235532111
Both,Skin and subcutaneous diseases,69,82674.41624732802,89204.2194654712,76806.51889649883
Both,Skin and subcutaneous diseases,70,87159.91204760723,93754.55282659535,81035.20753779949
Both,Skin and subcutaneous diseases,71,90909.23532049992,97586.02328710842,84567.22950731796
Both,Skin and subcutaneous diseases,72,93271.33526412978,100053.99086627032,86785.95603314905
Both,Skin and subcutaneous diseases,73,94466.86831006153,101359.58748044033,87899.45247754188
Both,Skin and subcutaneous diseases,74,95295.20087019455,102281.87949509377,88665.61786326648
Both,Skin and subcutaneous diseases,75,95973.34711315423,103043.12860316479,89292.57390919908
Both,Skin and subcutaneous diseases,76,96718.32120756613,103865.5964975875,89988.442334216
Both,Skin and subcutaneous diseases,77,97747.13732205569,104971.544871296,90961.34485719344
Both,Skin and subcutaneous diseases,78,99245.43937749497,106510.06582611575,92409.4870214076
Both,Skin and subcutaneous diseases,79,101157.02683967765,108403.91802172571,94291.8150256394
Both,Skin and subcutaneous diseases,80,103336.14719461153,110535.86298784034,96457.56157202228
Both,Skin and subcutaneous diseases,81,105637.04792830446,112788.66225417412,98755.95936268964
Both,Skin and subcutaneous diseases,82,107913.97652676424,115045.07735044154,101036.24109977492
Both,Skin and subcutaneous diseases,83,110598.9277527539,117747.44679711887,103744.07208179886
Both,Skin and subcutaneous diseases,84,113796.30858712652,120983.16455250292,106989.34616558149
Both,Skin and subcutaneous diseases,85,116868.98484302516,124102.57530303895,110117.63889070516
