sex,cause,age,val,upper,lower
Both,"Communicable, maternal, neonatal, and nutritional diseases",43,11.393433446859735,12.187271032970465,10.55761151595348
Both,"Communicable, maternal, neonatal, and nutritional diseases",44,11.816173121656867,12.616400521680443,10.983541069530563
Both,"Communicable, maternal, neonatal, and nutritional diseases",45,12.254311872976892,13.06023933375064,11.426210272538697
Both,"Communicable, maternal, neonatal, and nutritional diseases",46,12.747134339100326,13.56249312020676,11.920284565608304
Both,"Communicable, maternal, neonatal, and nutritional diseases",47,13.333925158307682,14.166867532074493,12.5004293893698
Both,"Communicable, maternal, neonatal, and nutritional diseases",48,14.07167170236353,14.941860172716835,13.211400924506394
Both,"Communicable, maternal, neonatal, and nutritional diseases",49,14.971475465230476,15.901982297734627,14.061063943995448
Both,"Communicable, maternal, neonatal, and nutritional diseases",50,16.00379226848611,17.009960036510325,15.028746776908642
Both,"Communicable, maternal, neonatal, and nutritional diseases",51,17.139077933708016,18.228519518426374,16.093777752317653
Both,"Communicable, maternal, neonatal, and nutritional diseases",52,18.347788282473775,19.52038687286524,17.235485199294153
Both,"Communicable, maternal, neonatal, and nutritional diseases",53,19.65058949654512,20.903077299552585,18.481016520111687
Both,"Communicable, maternal, neonatal, and nutritional diseases",54,21.095332937574618,22.43062546573284,19.872530367604288
Both,"Communicable, maternal, neonatal, and nutritional diseases",55,22.69325219697615,24.120536702066598,21.411871946684364
Both,"Communicable, maternal, neonatal, and nutritional diseases",56,24.455580866163587,25.990316339214473,23.10088646226433
Both,"Communicable, maternal, neonatal, and nutritional diseases",57,26.393552536550807,28.05746970783705,24.94141911925659
Both,"Communicable, maternal, neonatal, and nutritional diseases",58,28.574693802127378,30.407934829885964,26.983060312495674
Both,"Communicable, maternal, neonatal, and nutritional diseases",59,31.05097999622261,33.09939268535627,29.273029344110963
Both,"Communicable, maternal, neonatal, and nutritional diseases",60,33.81031781925996,36.106963041973714,31.809614779957148
Both,"Communicable, maternal, neonatal, and nutritional diseases",61,36.8406139716629,39.405765667464046,34.59110518588893
Both,"Communicable, maternal, neonatal, and nutritional diseases",62,40.1297751538549,42.970920329553,37.61578912776099
Both,"Communicable, maternal, neonatal, and nutritional diseases",63,43.80216490324326,46.91784335862017,41.00345015140695
Both,"Communicable, maternal, neonatal, and nutritional diseases",64,47.95148564237979,51.35108018084942,44.83279960275697
Both,"Communicable, maternal, neonatal, and nutritional diseases",65,52.51965239940471,56.229444207672984,49.04051774781062
Both,"Communicable, maternal, neonatal, and nutritional diseases",66,57.44858020245825,61.511748850523034,53.563284852567435
Both,"Communicable, maternal, neonatal, and nutritional diseases",67,62.68018407968065,67.1568075208318,58.33778118302698
Both,"Communicable, maternal, neonatal, and nutritional diseases",68,68.06169357570441,73.03057237585848,63.20524180793752
Both,"Communicable, maternal, neonatal, and nutritional diseases",69,73.71151947059076,79.25907641936381,68.27123304934443
Both,"Communicable, maternal, neonatal, and nutritional diseases",70,79.97834864562302,86.1912543325324,73.86893205319292
Both,"Communicable, maternal, neonatal, and nutritional diseases",71,87.21086798208451,94.17604079654886,80.3315159654282
Both,"Communicable, maternal, neonatal, and nutritional diseases",72,95.75776436125858,103.5623704925978,87.99216193199544
Both,"Communicable, maternal, neonatal, and nutritional diseases",73,106.49742834995268,115.2077365479171,97.77257305168344
Both,"Communicable, maternal, neonatal, and nutritional diseases",74,119.9456974240322,129.66320078117568,110.13271528030423
Both,"Communicable, maternal, neonatal, and nutritional diseases",75,135.90742882836747,146.81805091070476,124.71316004933792
Both,"Communicable, maternal, neonatal, and nutritional diseases",76,154.18747980782868,166.56157465483545,141.15447879026462
Both,"Communicable, maternal, neonatal, and nutritional diseases",77,174.5907076072861,188.78305973189887,159.0972429345645
Both,"Communicable, maternal, neonatal, and nutritional diseases",78,198.6022557690691,215.30003866361903,179.41651403088076
Both,"Communicable, maternal, neonatal, and nutritional diseases",79,227.60481738579708,247.71273836281085,203.11984696420834
Both,"Communicable, maternal, neonatal, and nutritional diseases",80,261.2495740277756,285.58448813444153,230.04655317055486
Both,"Communicable, maternal, neonatal, and nutritional diseases",81,299.1877072653101,328.4786172834785,260.03594408592795
Both,"Communicable, maternal, neonatal, and nutritional diseases",82,341.07039866870616,375.9584551148892,292.9273311463353
Both,"Communicable, maternal, neonatal, and nutritional diseases",83,388.69893932022705,430.33445527444275,329.78207269944585
Both,"Communicable, maternal, neonatal, and nutritional diseases",84,444.2146023112882,494.2531742495012,371.8836591203233
Both,"Communicable, maternal, neonatal, and nutritional diseases",85,507.7785422259228,567.7820956074213,419.4045998860669
Both,"Communicable, maternal, neonatal, and nutritional diseases",86,579.5519136481645,650.9887029155595,472.51740447377625
Both,"Communicable, maternal, neonatal, and nutritional diseases",87,659.6958711620464,743.9404797412725,531.3945823605508
Both,"Communicable, maternal, neonatal, and nutritional diseases",88,753.6329670110143,852.7198879506433,599.0597302232246
Both,"Communicable, maternal, neonatal, and nutritional diseases",89,865.2193154259513,982.0489707508588,677.774615359453
Both,"Communicable, maternal, neonatal, and nutritional diseases",90,992.2664139720465,1129.9545837209307,766.569003177567
Both,"Communicable, maternal, neonatal, and nutritional diseases",91,1132.58576021449,1294.4635824398713,864.4726590858974
Both,"Communicable, maternal, neonatal, and nutritional diseases",92,1283.9888517184702,1473.602822486693,970.515348492775
Both,"Communicable, maternal, neonatal, and nutritional diseases",93,1452.3645822449146,1675.762421833803,1088.7992801256607
Both,"Communicable, maternal, neonatal, and nutritional diseases",94,1643.3783061034057,1908.2507515040559,1222.9014261367106
Both,"Communicable, maternal, neonatal, and nutritional diseases",95,1854.5062116821186,2167.472046652134,1371.063697071298
Both,"Communicable, maternal, neonatal, and nutritional diseases",96,2083.2244873692275,2449.8305424327204,1531.528003474798
Both,"Communicable, maternal, neonatal, and nutritional diseases",97,2327.009321552906,2751.730474000497,1702.5362558925838
Both,"Communicable, maternal, neonatal, and nutritional diseases",98,2327.009321552906,2751.7304740004965,1702.5362558925838
Both,"Communicable, maternal, neonatal, and nutritional diseases",99,2327.009321552906,2751.7304740004965,1702.5362558925838
Both,"Communicable, maternal, neonatal, and nutritional diseases",100,2327.009321552906,2751.7304740004965,1702.5362558925838
Both,Diabetes and kidney diseases,0,0.8394642262669104,0.9618843244751982,0.7275044808379874
Both,Diabetes and kidney diseases,1,0.6398207300342599,0.7322128258113139,0.5552729745342576
Both,Diabetes and kidney diseases,2,0.28525023824562257,0.32431405195750984,0.24937964857367212
