Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Both sexes,2023,0,0,0,
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,80-84 years,Both sexes,2023,661.24,968.44,383.52
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,80-84 years,Both sexes,2023,138.69,152.02,126.17
All Population,Prevalence,Rate,Motor neuron disease,United States of America,80-84 years,Both sexes,2023,36.72,45.87,28.81
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,85-89 years,Both sexes,2023,"21,746.24","27,437.69","16,878.43"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,85-89 years,Both sexes,2023,"2,829.62","3,256.06","2,437.76"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,85-89 years,Both sexes,2023,713.16,"1,090.68",407.98
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,85-89 years,Both sexes,2023,112.6,125.82,98.9
All Population,Prevalence,Rate,Motor neuron disease,United States of America,85-89 years,Both sexes,2023,31.4,39.47,24.18
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,90-94 years,Both sexes,2023,"29,810.42","36,539.52","23,003.38"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,90-94 years,Both sexes,2023,"2,524.84","2,979.08","2,068.18"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,90-94 years,Both sexes,2023,764.64,"1,151.18",408.45
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,90-94 years,Both sexes,2023,89.7,104.28,73.81
All Population,Prevalence,Rate,Motor neuron disease,United States of America,90-94 years,Both sexes,2023,24.37,32.61,18.1
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,95+ years,Both sexes,2023,"35,982.02","46,479.44","27,292.72"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,95+ years,Both sexes,2023,"2,013.23","2,502.71","1,519.16"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,95+ years,Both sexes,2023,834.57,"1,318.21",454.1
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,95+ years,Both sexes,2023,70.09,85.4,52.8
All Population,Prevalence,Rate,Motor neuron disease,United States of America,95+ years,Both sexes,2023,22.67,33.48,13.74
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,<5 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,<5 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,<5 years,Both sexes,2023,201.48,289.35,121.57
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,<5 years,Both sexes,2023,0,0,0
All Population,Prevalence,Rate,Motor neuron disease,United States of America,<5 years,Both sexes,2023,3.05,3.57,2.62
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,<5 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,5-9 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,10-14 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,15-19 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,20-24 years,Males,2023,0,0,0
