population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,102,United States of America,3,Both,31,85-89 years,508,Chronic respiratory diseases,3,Rate,2023,819.2166182037801,941.6065500296116,645.61457710764
1,All Population,1,Deaths,102,United States of America,1,Male,32,90-94 years,508,Chronic respiratory diseases,3,Rate,2023,1379.9398875478205,1617.2282353911935,1089.5088387979451
1,All Population,1,Deaths,102,United States of America,2,Female,32,90-94 years,508,Chronic respiratory diseases,3,Rate,2023,1105.0824479841124,1346.4039512350766,770.945237787471
1,All Population,1,Deaths,102,United States of America,3,Both,32,90-94 years,508,Chronic respiratory diseases,3,Rate,2023,1198.6452559408383,1410.371322733914,893.1862247347171
1,All Population,1,Deaths,102,United States of America,1,Male,235,95+ years,508,Chronic respiratory diseases,3,Rate,2023,1698.504263304448,2049.509807618753,1236.0541334291238
1,All Population,1,Deaths,102,United States of America,2,Female,235,95+ years,508,Chronic respiratory diseases,3,Rate,2023,1552.5411578145474,1945.1582040477026,1083.9925051626983
1,All Population,1,Deaths,102,United States of America,3,Both,235,95+ years,508,Chronic respiratory diseases,3,Rate,2023,1592.288182370383,1939.8970648548127,1150.0516304918322
1,All Population,1,Deaths,102,United States of America,1,Male,1,<5 years,526,Digestive diseases,3,Rate,2023,1.204724498201996,1.4596868634737723,1.0030433785816437
1,All Population,1,Deaths,102,United States of America,2,Female,1,<5 years,526,Digestive diseases,3,Rate,2023,0.9199922612608158,1.1541742565654298,0.6978725695872324
1,All Population,1,Deaths,102,United States of America,3,Both,1,<5 years,526,Digestive diseases,3,Rate,2023,1.065499960557861,1.2399829774238427,0.9145746068260965
1,All Population,1,Deaths,102,United States of America,1,Male,6,5-9 years,526,Digestive diseases,3,Rate,2023,0.313352092794931,0.3933969926233008,0.25453951544443776
1,All Population,1,Deaths,102,United States of America,2,Female,6,5-9 years,526,Digestive diseases,3,Rate,2023,0.23960601464209172,0.29868293070359064,0.1838915810715516
