sex,age,cause,val,upper,lower
Both,50-54 years,Musculoskeletal disorders,1.5399119377414816,1.7353769345640913,1.383081531021158
Both,55-59 years,Musculoskeletal disorders,2.1461201880601255,2.39257803421683,1.9496609677383108
Both,60-64 years,Musculoskeletal disorders,3.0962362414525235,3.429733945153341,2.8034748320451626
Both,65-69 years,Musculoskeletal disorders,4.515942373729003,5.002192550799111,4.10400749539437
Both,70-74 years,Musculoskeletal disorders,6.825034448405117,7.469043863479082,6.170838722479538
Both,75-79 years,Musculoskeletal disorders,10.245012698525093,11.198805859259956,9.240594564326614
Both,80-84 years,Musculoskeletal disorders,15.67539842889268,17.97496347734346,12.519650013305016
Both,85-89 years,Musculoskeletal disorders,23.29367905989781,27.385498016215468,17.389857685851158
Both,90-94 years,Musculoskeletal disorders,36.313077566380336,42.7328611768748,26.1967222441715
Both,95+ years,Musculoskeletal disorders,56.29306266616655,69.09925289592043,40.04223722641917
Both,<1 year,Neoplasms,2.9218563417355745,3.1470078170337583,2.645400854607292
Both,<5 years,Neoplasms,2.5816730815251767,2.776048461876542,2.360368023817675
Both,2-4 years,Neoplasms,2.467434511548989,2.666189438512993,2.265414773165667
Both,5-9 years,Neoplasms,2.3351784587644535,2.509738058668866,2.172628995374371
Both,10-14 years,Neoplasms,2.473309205682793,2.6362460497881166,2.328691465420791
Both,15-19 years,Neoplasms,3.326707920279146,3.5464541787613304,3.1087745144697467
Both,20-24 years,Neoplasms,4.126746264014994,4.412594281449342,3.82346991124388
Both,25-29 years,Neoplasms,6.460526968915564,6.976787064549004,5.922133778055771
Both,30-34 years,Neoplasms,12.077779235339197,13.147034588405914,11.1092105608123
Both,35-39 years,Neoplasms,21.442881799635213,22.88711872768936,20.05143499901785
Both,40-44 years,Neoplasms,38.682975456311546,40.99896114327887,36.59490573920753
Both,45-49 years,Neoplasms,65.19368488082081,68.01256482305733,62.2481219019991
Both,50-54 years,Neoplasms,117.00618791239287,120.44031298620855,112.7485366324136
Both,55-59 years,Neoplasms,202.1843812295774,207.40342558271973,196.51747974448628
Both,60-64 years,Neoplasms,338.3776576544772,346.7436290649034,327.93409451537724
Both,65-69 years,Neoplasms,496.66861522981384,511.6633888508054,473.3187358388752
Both,70-74 years,Neoplasms,689.2468490645603,715.0964378567568,649.1876061544573
Both,75-79 years,Neoplasms,976.251063145844,1026.1342653537,900.1817069641746
Both,80-84 years,Neoplasms,1373.171703269693,1491.0225861651386,1172.073472603173
Both,85-89 years,Neoplasms,1841.5987412829272,2044.0671554175592,1460.515930663454
Both,90-94 years,Neoplasms,2373.941848360942,2683.0922654364645,1822.2533852884712
Both,95+ years,Neoplasms,2528.0429087369066,2933.880962585573,1829.5972046477305
Both,<1 year,Neurological disorders,5.671128133384779,6.458514897791137,4.902932337539117
Both,<5 years,Neurological disorders,2.2124264731650247,2.5290702036942423,1.9513668046680503
Both,2-4 years,Neurological disorders,1.0685294786511568,1.1993226568018147,0.9584281259860664
Both,5-9 years,Neurological disorders,0.7031845305889448,0.7984283087674858,0.6279942037528701
Both,10-14 years,Neurological disorders,0.8867140536040846,1.012945759470239,0.7879021437338882
Both,15-19 years,Neurological disorders,1.380160823521918,1.5452239085123505,1.228589768193563
Both,20-24 years,Neurological disorders,1.7415953867587597,1.937158654632141,1.5414340089727836
Both,25-29 years,Neurological disorders,1.9122467960069336,2.1682272953873043,1.690748816525259
Both,30-34 years,Neurological disorders,2.2911465422383643,2.5840323458956163,2.026479977815256
Both,35-39 years,Neurological disorders,2.8487265878838266,3.1891658380466663,2.5531824568298984
Both,40-44 years,Neurological disorders,4.0383426132999665,4.4826347987290225,3.68416478037428
Both,45-49 years,Neurological disorders,5.945579967619847,6.841958692206256,5.400431712781673
Both,50-54 years,Neurological disorders,9.901576200274755,13.39367398700623,8.399807017813812
Both,55-59 years,Neurological disorders,18.037758003003177,27.815769437481286,13.95080205149016
Both,60-64 years,Neurological disorders,36.375416876739656,62.423874278211755,25.027733726261445
Both,65-69 years,Neurological disorders,70.8284584151551,137.1205580748628,43.62025377779677
Both,70-74 years,Neurological disorders,137.04088446206944,262.00997542318424,80.36459479213492
Both,75-79 years,Neurological disorders,289.7273663898591,546.3087728948315,162.35906147427548
Both,80-84 years,Neurological disorders,750.6470176160873,1489.962100919181,361.2854578174787
Both,85-89 years,Neurological disorders,1542.514289789665,3310.5917973767405,654.5465711688246
Both,90-94 years,Neurological disorders,2973.5674585542633,6589.783982671497,1110.4186165628455
Both,95+ years,Neurological disorders,5373.790955621441,12027.273150197148,1668.223079090698
Both,<1 year,Other non-communicable diseases,180.34444653683025,203.94509862947584,163.52931153702792
Both,<5 years,Other non-communicable diseases,39.61438163862675,45.17570412705857,35.695262445265534
Both,2-4 years,Other non-communicable diseases,3.797714476743315,4.653065359971488,3.255554753292343
Both,5-9 years,Other non-communicable diseases,1.9236287089736408,2.2337708255280804,1.6838422117877003
Both,10-14 years,Other non-communicable diseases,1.9178654406773352,2.154432242585006,1.70347814682137
Both,15-19 years,Other non-communicable diseases,1.9268703740303907,2.145989875758444,1.7081345440029134
Both,20-24 years,Other non-communicable diseases,2.317328224026414,2.576239381323506,2.056590083170073
Both,25-29 years,Other non-communicable diseases,2.9668002310509305,3.3050470931815643,2.6423397972696647
Both,30-34 years,Other non-communicable diseases,3.967689555905959,4.40367927759106,3.558519108105646
Both,35-39 years,Other non-communicable diseases,5.385343294796661,5.87120429497833,4.87892342329559
Both,40-44 years,Other non-communicable diseases,7.485194584434172,8.03015443389064,6.924702467223437
Both,45-49 years,Other non-communicable diseases,9.76987968229912,10.350782483649311,9.109371982998637
Both,50-54 years,Other non-communicable diseases,13.4116821994102,14.028240636369231,12.735108019422457
Both,55-59 years,Other non-communicable diseases,20.450694441924337,21.18354871438385,19.52562086577951
Both,60-64 years,Other non-communicable diseases,29.396488190873185,30.504809989874623,28.2146717037742
Both,65-69 years,Other non-communicable diseases,40.12082853207754,41.782017644240355,37.964742244429715
Both,70-74 years,Other non-communicable diseases,56.46108471610658,59.08258963420198,52.98031643960857
Both,75-79 years,Other non-communicable diseases,92.10138321874136,98.26815480965102,84.55111636530546
Both,80-84 years,Other non-communicable diseases,154.73549402356002,169.67706911675566,133.3028432063299
Both,85-89 years,Other non-communicable diseases,271.35000747959316,301.97308111172697,212.7933150361084
Both,90-94 years,Other non-communicable diseases,481.2628884729794,547.8061641192397,368.0011106168151
Both,95+ years,Other non-communicable diseases,770.0936234800371,898.1807949202754,546.8795822616399
Both,<1 year,Skin and subcutaneous diseases,0.3244165769808058,0.3897086833840075,0.2788008906631743
Both,<5 years,Skin and subcutaneous diseases,0.0854211841699342,0.1021235200424965,0.0732695638962211
Both,2-4 years,Skin and subcutaneous diseases,0.0201587257285639,0.0238260975010177,0.0175618805421351
Both,5-9 years,Skin and subcutaneous diseases,0.0135544136567027,0.0161044073689151,0.0115432826378415
Both,10-14 years,Skin and subcutaneous diseases,0.0170657768227219,0.0202916187993976,0.0145351991038271
Both,15-19 years,Skin and subcutaneous diseases,0.0253781801259966,0.030535215765127,0.0209286981623947
Both,20-24 years,Skin and subcutaneous diseases,0.0458159853079492,0.0535905081410887,0.0384912874779667
Both,25-29 years,Skin and subcutaneous diseases,0.1149689055113695,0.1343455109982392,0.0955207950530269
Both,30-34 years,Skin and subcutaneous diseases,0.2411936865121182,0.2809021788436379,0.2019579578233402
Both,35-39 years,Skin and subcutaneous diseases,0.4116462963804939,0.4765503536944118,0.3473082389084592
Both,40-44 years,Skin and subcutaneous diseases,0.6751386275962192,0.7868200071882172,0.5659698450590234
Both,45-49 years,Skin and subcutaneous diseases,1.013612091208311,1.1841349123369265,0.8594068672233074
Both,50-54 years,Skin and subcutaneous diseases,1.534266010366042,1.7460794894556524,1.3348507298718866
Both,55-59 years,Skin and subcutaneous diseases,2.3879807138020244,2.6848091513315273,2.1162925161931057
Both,60-64 years,Skin and subcutaneous diseases,3.552860957633333,3.939804156138381,3.1792589172132737
Both,65-69 years,Skin and subcutaneous diseases,4.840674536681149,5.3628700624254915,4.3818537554136014
Both,70-74 years,Skin and subcutaneous diseases,7.2100506604942,8.101406129779033,6.444306058527709
Both,75-79 years,Skin and subcutaneous diseases,11.145602510545364,12.616729956632344,9.794457694964663
Both,80-84 years,Skin and subcutaneous diseases,17.991696677962484,20.565680947235684,14.838999798443776
Both,85-89 years,Skin and subcutaneous diseases,28.154284689678025,32.753818868460925,22.02558434193672
Both,90-94 years,Skin and subcutaneous diseases,46.70707853952534,55.395296866354165,34.86229321164095
Both,95+ years,Skin and subcutaneous diseases,69.97767001736217,84.9160116543826,49.257827477056864
Both,<1 year,Substance use disorders,0.0,0.0,0.0
Both,<5 years,Substance use disorders,0.0,0.0,0.0
Both,2-4 years,Substance use disorders,0.0,0.0,0.0
Both,5-9 years,Substance use disorders,0.0,0.0,0.0
Both,10-14 years,Substance use disorders,0.0,0.0,0.0
Both,15-19 years,Substance use disorders,6.914393925855268,8.666380762252762,5.228644675690583
Both,20-24 years,Substance use disorders,23.568742758839875,28.414743369782265,18.825102634285717
Both,25-29 years,Substance use disorders,42.08205407184386,49.02394737465606,35.94450520487322
Both,30-34 years,Substance use disorders,58.69863369424637,67.35676454855958,50.33569154654132
Both,35-39 years,Substance use disorders,66.97226435877575,76.33625256761965,57.786286226366904
Both,40-44 years,Substance use disorders,70.092292130835,80.72312865774678,60.197230513792725
Both,45-49 years,Substance use disorders,65.69742098216545,76.47658017700209,55.045847740467
Both,50-54 years,Substance use disorders,62.62033330568994,74.7641367602429,51.71560797125382
Both,55-59 years,Substance use disorders,59.9675073102966,71.3235273321079,50.48839387280038
Both,60-64 years,Substance use disorders,46.46191956244418,54.69765388014188,39.47107415707798
Both,65-69 years,Substance use disorders,31.514175780435927,36.583731105844834,27.069197414126027
Both,70-74 years,Substance use disorders,17.748992906523867,20.08552011321817,15.648789555895949
Both,75-79 years,Substance use disorders,11.72675869559893,13.261122979388697,10.32497017368224
Both,80-84 years,Substance use disorders,9.521345877583938,11.04796453275224,7.83085725681484
Both,85-89 years,Substance use disorders,9.689068457855628,11.543314142850836,7.356402157977414
Both,90-94 years,Substance use disorders,11.73598485131671,14.082292869874657,8.546078659772897
Both,95+ years,Substance use disorders,13.557857533252934,16.69779113333133,9.0754632447669
Female,<1 year,Cardiovascular diseases,7.022149277053749,8.840470091516316,5.54991906905748
Female,<5 years,Cardiovascular diseases,1.977186246982951,2.4671913393007885,1.5657321171584817
Female,2-4 years,Cardiovascular diseases,0.4902071973275413,0.6001223293760444,0.4013477317255264
Female,5-9 years,Cardiovascular diseases,0.4202387742112508,0.5325169679318674,0.3354747323932836
Female,10-14 years,Cardiovascular diseases,0.6210691768660238,0.7546108059137147,0.5100397423553232
Female,15-19 years,Cardiovascular diseases,1.1600627272749815,1.400815164099936,0.9522646986236016
Female,20-24 years,Cardiovascular diseases,2.1338839076198273,2.6075374676509977,1.744326269658349
Female,25-29 years,Cardiovascular diseases,4.090644923651787,4.87004124019567,3.4088223320747977
Female,30-34 years,Cardiovascular diseases,8.197688922121548,9.676256652402754,6.86830383342676
Female,35-39 years,Cardiovascular diseases,14.675377655421928,16.80565085084584,12.677042114104545
Female,40-44 years,Cardiovascular diseases,27.332866738173223,30.541362608404164,24.082153820773687
Female,45-49 years,Cardiovascular diseases,42.81112867798685,47.159983237768664,38.68444409731029
Female,50-54 years,Cardiovascular diseases,68.33864026734857,73.7005728872374,62.43358837130948
Female,55-59 years,Cardiovascular diseases,111.47252148459629,118.6472816262697,103.66425757881628
Female,60-64 years,Cardiovascular diseases,177.67400492173206,189.41853229334507,165.13026297812317
Female,65-69 years,Cardiovascular diseases,262.5559923726537,279.7622615609776,241.6403084595998
Female,70-74 years,Cardiovascular diseases,435.5991217368382,466.0812147038816,388.2292565800992
Female,75-79 years,Cardiovascular diseases,781.138972960868,844.438419244901,676.3435474188894
Female,80-84 years,Cardiovascular diseases,1543.3193617284644,1724.2193467987593,1236.629531334981
Female,85-89 years,Cardiovascular diseases,3208.831130606506,3645.915053211091,2394.0003856613034
Female,90-94 years,Cardiovascular diseases,6707.336624804625,7727.411408367374,4900.174548560681
Female,95+ years,Cardiovascular diseases,12547.231779802016,14714.037677466402,8894.864212674545
Female,<1 year,Chronic respiratory diseases,0.9763818067206266,1.3215153652576883,0.6704612688594987
Female,<5 years,Chronic respiratory diseases,0.5431798880948605,0.6911613834843569,0.3975797377798016
Female,2-4 years,Chronic respiratory diseases,0.3231886858560191,0.3948835467331099,0.2461259560614858
Female,5-9 years,Chronic respiratory diseases,0.3376702848854203,0.4014917142533403,0.2675498185359842
Female,10-14 years,Chronic respiratory diseases,0.4022184659055252,0.4942684625417876,0.3133779503212102
Female,15-19 years,Chronic respiratory diseases,0.500369827067163,0.6083718293279562,0.4017599572116388
Female,20-24 years,Chronic respiratory diseases,0.6538998883735182,0.7946816259549438,0.5205345086608694
Female,25-29 years,Chronic respiratory diseases,0.9128690613585034,1.095168681585084,0.7278329812385064
Female,30-34 years,Chronic respiratory diseases,1.3108165458104497,1.5826136916610083,1.071106632764807
Female,35-39 years,Chronic respiratory diseases,2.0040141389105157,2.3610497150972556,1.6823336876007426
Female,40-44 years,Chronic respiratory diseases,3.737000716856936,4.298980429294779,3.20871219847723
Female,45-49 years,Chronic respiratory diseases,7.10511224768921,8.028166824420257,6.102368902142658
Female,50-54 years,Chronic respiratory diseases,16.04184872636398,17.82932003900064,13.99523228856767
Female,55-59 years,Chronic respiratory diseases,33.156895539722626,36.6225694868287,29.692606267517547
Female,60-64 years,Chronic respiratory diseases,66.95612726483468,74.03119569459653,60.261434762428465
Female,65-69 years,Chronic respiratory diseases,108.42482726303793,120.70691810895316,97.10146428236176
Female,70-74 years,Chronic respiratory diseases,180.60390097355983,203.6715026458304,159.3281872237375
