population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Male,65-69 years,Skin and subcutaneous diseases,Rate,2023,76069.47331425184,82016.60840479344,70813.33715631977
All Population,Incidence,United States of America,Female,65-69 years,Skin and subcutaneous diseases,Rate,2023,72300.61018628642,79038.0007652538,66899.14679154746
All Population,Incidence,United States of America,Male,70-74 years,Skin and subcutaneous diseases,Rate,2023,101307.68924704936,107767.81537126063,94675.10761433416
All Population,Incidence,United States of America,Female,70-74 years,Skin and subcutaneous diseases,Rate,2023,86287.12523296842,92983.43756547217,79987.78534747128
All Population,Incidence,United States of America,Male,75-79 years,Skin and subcutaneous diseases,Rate,2023,109211.9316039597,117384.4621927722,101936.56546771237
All Population,Incidence,United States of America,Female,75-79 years,Skin and subcutaneous diseases,Rate,2023,88224.39454677838,95173.72956935006,81999.34255685436
All Population,Incidence,United States of America,Male,<1 year,Skin and subcutaneous diseases,Rate,2023,24278.34034006026,26313.397172591307,22421.3683455758
All Population,Incidence,United States of America,Female,<1 year,Skin and subcutaneous diseases,Rate,2023,21660.40766656221,23568.98656391762,20082.70703480337
All Population,Incidence,United States of America,Male,80-84 years,Skin and subcutaneous diseases,Rate,2023,126431.5202784623,134563.00738932277,118464.38485388045
All Population,Incidence,United States of America,Female,80-84 years,Skin and subcutaneous diseases,Rate,2023,93972.46206904309,100260.13410631818,87344.85342797774
All Population,Incidence,United States of America,Male,85-89 years,Skin and subcutaneous diseases,Rate,2023,142939.94865567394,151196.20577367043,135474.5907434896
All Population,Incidence,United States of America,Female,85-89 years,Skin and subcutaneous diseases,Rate,2023,105133.42545311549,111873.98184411712,99000.35817594371
All Population,Incidence,United States of America,Male,90-94 years,Skin and subcutaneous diseases,Rate,2023,139511.51358239734,148792.1510764885,131006.7364440299
All Population,Incidence,United States of America,Female,90-94 years,Skin and subcutaneous diseases,Rate,2023,108127.23598128882,116290.79416972019,100837.8729364136
All Population,Incidence,United States of America,Male,2-4 years,Skin and subcutaneous diseases,Rate,2023,23236.036149273838,28441.14041109494,19467.28354736842
All Population,Incidence,United States of America,Female,2-4 years,Skin and subcutaneous diseases,Rate,2023,22295.46013942578,27032.17160600384,18744.51603647036
All Population,Incidence,United States of America,Male,95+ years,Skin and subcutaneous diseases,Rate,2023,135788.02034314696,147453.1651219971,124898.58576617627
All Population,Incidence,United States of America,Female,95+ years,Skin and subcutaneous diseases,Rate,2023,109731.82323255728,119251.94287858272,101109.61154661744
All Population,Incidence,United States of America,Male,<5 years,Sense organ diseases,Rate,2023,122.06060168271999,172.84161339177,76.92360871524
All Population,Incidence,United States of America,Female,<5 years,Sense organ diseases,Rate,2023,103.87599699053999,145.83257328595,67.09514914273001
All Population,Incidence,United States of America,Male,0-6 days,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,0-6 days,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,5-9 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,5-9 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,10-14 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,10-14 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,15-19 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,15-19 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,25-29 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,25-29 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,30-34 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,30-34 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,35-39 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,35-39 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,40-44 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,40-44 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,45-49 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,45-49 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,50-54 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,50-54 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,55-59 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,55-59 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,60-64 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,60-64 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,65-69 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,65-69 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,70-74 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,70-74 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,75-79 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,75-79 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,<1 year,Sense organ diseases,Rate,2023,623.96096676196,883.54816133837,393.22540278427
All Population,Incidence,United States of America,Female,<1 year,Sense organ diseases,Rate,2023,530.7204966834499,745.08392669381,342.80076157849
All Population,Incidence,United States of America,Male,80-84 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,80-84 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,85-89 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,85-89 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,90-94 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,90-94 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,2-4 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,2-4 years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,95+ years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,95+ years,Sense organ diseases,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,<5 years,Neurological disorders,Rate,2023,48.60134433749,77.95240098098,28.75205387385
All Population,Incidence,United States of America,Female,<5 years,Neurological disorders,Rate,2023,47.48205382341,75.60820318855001,27.854413069270002
All Population,Incidence,United States of America,Male,0-6 days,Neurological disorders,Rate,2023,53.17807048554,80.39050637337,32.54724148151
All Population,Incidence,United States of America,Female,0-6 days,Neurological disorders,Rate,2023,53.70556156306,79.64385712757,33.21075420893
All Population,Incidence,United States of America,Male,5-9 years,Neurological disorders,Rate,2023,8711.4073857108,12388.57634359438,5690.66096672241
All Population,Incidence,United States of America,Female,5-9 years,Neurological disorders,Rate,2023,10912.74429427764,15100.74405280118,7525.39561558185
All Population,Incidence,United States of America,Male,10-14 years,Neurological disorders,Rate,2023,15534.54968225398,21092.3767871432,11340.48639044005
All Population,Incidence,United States of America,Female,10-14 years,Neurological disorders,Rate,2023,18960.40448050429,24769.90045075816,14139.91799424344
All Population,Incidence,United States of America,Male,15-19 years,Neurological disorders,Rate,2023,14310.211138478771,20484.547324535048,9794.9679711055
All Population,Incidence,United States of America,Female,15-19 years,Neurological disorders,Rate,2023,17097.73971807822,23007.20738755608,12213.68668971417
All Population,Incidence,United States of America,Male,25-29 years,Neurological disorders,Rate,2023,15935.41651614459,21695.3374157239,9383.93810446088
All Population,Incidence,United States of America,Female,25-29 years,Neurological disorders,Rate,2023,17676.23019316836,23291.04760155248,11829.25838506884
All Population,Incidence,United States of America,Male,30-34 years,Neurological disorders,Rate,2023,16411.120012061532,21924.63847828617,10347.376876395501
All Population,Incidence,United States of America,Female,30-34 years,Neurological disorders,Rate,2023,17965.73760525832,24629.73673583494,11568.48253304801
All Population,Incidence,United States of America,Male,35-39 years,Neurological disorders,Rate,2023,15241.53029732086,20298.1104784265,9891.63666885243
All Population,Incidence,United States of America,Female,35-39 years,Neurological disorders,Rate,2023,16916.28720490522,22892.70846137669,11159.232326697
All Population,Incidence,United States of America,Male,40-44 years,Neurological disorders,Rate,2023,13735.54948443282,19062.29021988043,9766.593452430001
All Population,Incidence,United States of America,Female,40-44 years,Neurological disorders,Rate,2023,15330.4655603375,20812.008913555997,10952.02420729572
All Population,Incidence,United States of America,Male,45-49 years,Neurological disorders,Rate,2023,13347.27118600601,19226.145597251932,8144.808644526131
All Population,Incidence,United States of America,Female,45-49 years,Neurological disorders,Rate,2023,14592.209642356649,20491.35963613436,8852.690536917129
All Population,Incidence,United States of America,Male,50-54 years,Neurological disorders,Rate,2023,14163.054071457931,19636.13612218249,10026.59084369152
All Population,Incidence,United States of America,Female,50-54 years,Neurological disorders,Rate,2023,15186.5333656524,21457.92084495751,10673.44761027469
All Population,Incidence,United States of America,Male,55-59 years,Neurological disorders,Rate,2023,13544.754166453322,18330.39005582499,9167.253988370281
All Population,Incidence,United States of America,Female,55-59 years,Neurological disorders,Rate,2023,14309.52980393857,19299.0561906272,9892.60540875224
All Population,Incidence,United States of America,Male,60-64 years,Neurological disorders,Rate,2023,11928.97291057886,17019.53033505267,7790.7012780022405
All Population,Incidence,United States of America,Female,60-64 years,Neurological disorders,Rate,2023,12767.08766547312,17772.64970155258,8481.373286705619
All Population,Incidence,United States of America,Male,65-69 years,Neurological disorders,Rate,2023,10383.97600139212,14809.291417322489,7072.12999622637
All Population,Incidence,United States of America,Female,65-69 years,Neurological disorders,Rate,2023,11571.12817744438,16242.387172389741,8155.94525673123
All Population,Incidence,United States of America,Male,70-74 years,Neurological disorders,Rate,2023,10980.371531602521,14719.55080980377,7495.587963392019
All Population,Incidence,United States of America,Female,70-74 years,Neurological disorders,Rate,2023,12203.824913034668,16384.442878185422,8278.3256935108
All Population,Incidence,United States of America,Male,75-79 years,Neurological disorders,Rate,2023,11369.7764312349,15291.193809344588,7964.72722621235
All Population,Incidence,United States of America,Female,75-79 years,Neurological disorders,Rate,2023,12511.21038346124,16713.82187009946,8776.17674816938
All Population,Incidence,United States of America,Male,<1 year,Neurological disorders,Rate,2023,50.94854296981,80.70974885105,30.762245783079997
All Population,Incidence,United States of America,Female,<1 year,Neurological disorders,Rate,2023,50.878306543019995,80.03934403356,29.969384892620003
All Population,Incidence,United States of America,Male,80-84 years,Neurological disorders,Rate,2023,11588.35971024991,15098.189671789189,8328.36437070113
All Population,Incidence,United States of America,Female,80-84 years,Neurological disorders,Rate,2023,12796.072565113838,16760.6561055553,9192.95968390724
All Population,Incidence,United States of America,Male,85-89 years,Neurological disorders,Rate,2023,12737.440669078582,16409.35729182306,9674.84426349417
All Population,Incidence,United States of America,Female,85-89 years,Neurological disorders,Rate,2023,13728.34978219105,17349.76109971268,10496.83843869329
All Population,Incidence,United States of America,Male,90-94 years,Neurological disorders,Rate,2023,15455.48301666069,19994.93067096293,12067.905501404979
All Population,Incidence,United States of America,Female,90-94 years,Neurological disorders,Rate,2023,15741.063132158939,20505.78386016113,11874.90259379183
All Population,Incidence,United States of America,Male,2-4 years,Neurological disorders,Rate,2023,47.77609144148,82.49974024559,26.596001323390002
All Population,Incidence,United States of America,Female,2-4 years,Neurological disorders,Rate,2023,46.2165137692,79.06204659131,25.40638221208
All Population,Incidence,United States of America,Male,95+ years,Neurological disorders,Rate,2023,18786.09006347839,24521.86997665204,13535.2854240742
All Population,Incidence,United States of America,Female,95+ years,Neurological disorders,Rate,2023,18451.15432931453,24173.321535054758,13193.5118927899
All Population,Incidence,United States of America,Male,<5 years,Mental disorders,Rate,2023,982.06835296264,1582.14053376855,583.1753183938699
All Population,Incidence,United States of America,Female,<5 years,Mental disorders,Rate,2023,439.98943258700996,761.48695071347,247.58477050886
All Population,Incidence,United States of America,Male,0-6 days,Mental disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Female,0-6 days,Mental disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Male,5-9 years,Mental disorders,Rate,2023,3460.63936914117,4415.33845945204,2667.58016971164
All Population,Incidence,United States of America,Female,5-9 years,Mental disorders,Rate,2023,4375.93474013322,5948.76548583287,3053.85987103007
All Population,Incidence,United States of America,Male,10-14 years,Mental disorders,Rate,2023,5925.392566870781,7403.8373151187,4686.3141576061
All Population,Incidence,United States of America,Female,10-14 years,Mental disorders,Rate,2023,10148.28747321768,12235.87711252015,7832.907639862339
All Population,Incidence,United States of America,Male,15-19 years,Mental disorders,Rate,2023,6981.81498792607,8484.4076993349,5566.94233000595
All Population,Incidence,United States of America,Female,15-19 years,Mental disorders,Rate,2023,12001.10071303278,14572.95776816899,9717.796258206
