population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,United States of America,Female,60-64 years,Cardiovascular diseases,Rate,2023,177.67400492173206,189.41853229334507,165.13026297812317
All Population,Deaths,United States of America,Both,60-64 years,Cardiovascular diseases,Rate,2023,281.84145276656227,291.3911107634114,269.7284275549624
All Population,Deaths,United States of America,Male,65-69 years,Cardiovascular diseases,Rate,2023,546.1996034890909,567.6409042694293,520.6923861210228
All Population,Deaths,United States of America,Female,65-69 years,Cardiovascular diseases,Rate,2023,262.5559923726537,279.7622615609776,241.6403084595998
All Population,Deaths,United States of America,Both,65-69 years,Cardiovascular diseases,Rate,2023,397.9106183213931,413.4495822743529,377.4990394145978
All Population,Deaths,United States of America,Male,70-74 years,Cardiovascular diseases,Rate,2023,793.8664698919521,832.4152024463722,749.1274210240725
All Population,Deaths,United States of America,Female,70-74 years,Cardiovascular diseases,Rate,2023,435.5991217368382,466.08121470388164,388.22925658009916
All Population,Deaths,United States of America,Both,70-74 years,Cardiovascular diseases,Rate,2023,602.1850371842788,628.4034727674647,562.3617149446098
All Population,Deaths,United States of America,Male,75-79 years,Cardiovascular diseases,Rate,2023,1222.574879433266,1287.9067569380554,1144.2935699600278
All Population,Deaths,United States of America,Female,75-79 years,Cardiovascular diseases,Rate,2023,781.138972960868,844.438419244901,676.3435474188894
All Population,Deaths,United States of America,Both,75-79 years,Cardiovascular diseases,Rate,2023,981.4331083639374,1038.3071469204028,895.9183973289614
All Population,Deaths,United States of America,Male,<1 year,Cardiovascular diseases,Rate,2023,8.450110372104152,10.389073868356087,6.7960920907552085
All Population,Deaths,United States of America,Female,<1 year,Cardiovascular diseases,Rate,2023,7.022149277053749,8.840470091516316,5.54991906905748
All Population,Deaths,United States of America,Both,<1 year,Cardiovascular diseases,Rate,2023,7.751695166902619,9.235879107096993,6.664752000644687
All Population,Deaths,United States of America,Male,80-84 years,Cardiovascular diseases,Rate,2023,2170.119796358222,2317.953459500079,1906.5043827977513
