population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Both,65-69 years,Other non-communicable diseases,Rate,2023,42051.93560462721,48289.33933321803,35896.93135969118
All Population,Incidence,United States of America,Both,70-74 years,Other non-communicable diseases,Rate,2023,42356.68351394142,48420.232634783024,37059.58742058566
All Population,Incidence,United States of America,Both,75-79 years,Other non-communicable diseases,Rate,2023,44117.50124394232,49576.63639203579,38383.06219834627
All Population,Incidence,United States of America,Both,<1 year,Other non-communicable diseases,Rate,2023,25932.137934099632,26820.484490004732,25251.51091476575
All Population,Incidence,United States of America,Both,80-84 years,Other non-communicable diseases,Rate,2023,45907.42639640873,52406.87128561914,39858.54976362153
All Population,Incidence,United States of America,Both,85-89 years,Other non-communicable diseases,Rate,2023,47595.945581882595,55716.3402691373,40303.43388984542
All Population,Incidence,United States of America,Both,90-94 years,Other non-communicable diseases,Rate,2023,48399.72591484204,57073.75086009142,41307.27833708081
All Population,Incidence,United States of America,Both,2-4 years,Other non-communicable diseases,Rate,2023,66176.02703134372,91098.05212132298,43704.75942958762
All Population,Incidence,United States of America,Both,95+ years,Other non-communicable diseases,Rate,2023,47606.65533092034,60519.931870456545,39068.55128827142
All Population,Incidence,United States of America,Both,<5 years,Digestive diseases,Rate,2023,339.21697635912,380.26463488333997,307.91891433574
All Population,Incidence,United States of America,Both,5-9 years,Digestive diseases,Rate,2023,544.0682128716301,630.39089061981,473.0406241038
All Population,Incidence,United States of America,Both,10-14 years,Digestive diseases,Rate,2023,1133.54395776357,1358.9558245323599,938.94697814865
All Population,Incidence,United States of America,Both,15-19 years,Digestive diseases,Rate,2023,3587.34542156794,4372.1792447074495,2948.30444310335
All Population,Incidence,United States of America,Both,20-24 years,Digestive diseases,Rate,2023,5561.26153250331,6829.55728144019,4518.52552821848
All Population,Incidence,United States of America,Both,25-29 years,Digestive diseases,Rate,2023,7211.9194921793405,8763.45015421249,5828.926991795111
All Population,Incidence,United States of America,Both,30-34 years,Digestive diseases,Rate,2023,8532.44810419221,10550.07008868653,6896.13134768196
All Population,Incidence,United States of America,Both,35-39 years,Digestive diseases,Rate,2023,9649.49407790768,11995.91696366575,7791.68534227815
All Population,Incidence,United States of America,Both,40-44 years,Digestive diseases,Rate,2023,10715.939144659991,13266.033687964271,8616.09504473426
All Population,Incidence,United States of America,Both,45-49 years,Digestive diseases,Rate,2023,11927.54303384994,14383.264992353781,9704.608288065469
All Population,Incidence,United States of America,Both,50-54 years,Digestive diseases,Rate,2023,14029.250967637921,16744.19414589623,11616.58431960219
All Population,Incidence,United States of America,Both,55-59 years,Digestive diseases,Rate,2023,16236.42827411361,19366.62241146064,13489.88115067576
All Population,Incidence,United States of America,Both,60-64 years,Digestive diseases,Rate,2023,18059.4437598365,21152.14588386787,15048.05255599154
All Population,Incidence,United States of America,Both,65-69 years,Digestive diseases,Rate,2023,19481.109008539952,22426.6037663592,16752.695450116138
All Population,Incidence,United States of America,Both,70-74 years,Digestive diseases,Rate,2023,20696.35637978354,23653.11573424404,17829.62818469857
All Population,Incidence,United States of America,Both,75-79 years,Digestive diseases,Rate,2023,20845.167515170342,23788.40621062506,17998.96176026971
All Population,Incidence,United States of America,Both,<1 year,Digestive diseases,Rate,2023,247.71010021332998,276.32548092909997,223.8937748545
All Population,Incidence,United States of America,Both,80-84 years,Digestive diseases,Rate,2023,20662.81849097626,23426.30249776714,17989.4817030578
All Population,Incidence,United States of America,Both,85-89 years,Digestive diseases,Rate,2023,20903.23811036831,23501.87438612547,18398.76665073136
All Population,Incidence,United States of America,Both,90-94 years,Digestive diseases,Rate,2023,21090.60826086485,23776.42262057915,18239.71592554024
All Population,Incidence,United States of America,Both,2-4 years,Digestive diseases,Rate,2023,390.84774869356,445.41456800507,346.12275774205
All Population,Incidence,United States of America,Both,95+ years,Digestive diseases,Rate,2023,21849.059764968228,26039.35847736741,18461.080454531988
All Population,Incidence,United States of America,Both,<5 years,Skin and subcutaneous diseases,Rate,2023,22688.36587235998,25738.09832065992,20013.50716522779
All Population,Incidence,United States of America,Both,5-9 years,Skin and subcutaneous diseases,Rate,2023,24863.66683693297,29799.123140845928,21212.7715379905
