Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
L82.01	Congenital anomaly musculoskeletal	L89	Osteoarthrosis of hip	10.715	636	2258	123292
N18	Paralysis/weakness	L82.01	Congenital anomaly musculoskeletal	8.184	28	2866	3924
L82.01	Congenital anomaly musculoskeletal	N85	Congenital anomaly neurological	5.085	21	2873	3718
L82.01	Congenital anomaly musculoskeletal	N88	Epilepsy	1.728	79	2815	49833
L82.01	Congenital anomaly musculoskeletal	N99	Neurological disease, other	3.827	55	2839	18203
L82.01	Congenital anomaly musculoskeletal	P85	Mental retardation	4.192	55	2839	12508
L83	Neck syndrome	L84	Back syndrome without radiating pain	1.634	1706	127558	23430
L83	Neck syndrome	L86	Back syndrome with radiating pain	1.676	32195	97069	456726
L83	Neck syndrome	L86/84/83	Neck/Back syndrome	2.45	34061	95203	399260
L83	Neck syndrome	L91	Osteoarthrosis other	1.568	24664	104600	455554
L83	Neck syndrome	L92	Shoulder syndrome	1.865	34032	95232	476079
L83	Neck syndrome	L93	Tennis elbow	1.737	11029	118235	131295
L83	Neck syndrome	N85	Congenital anomaly neurological	1.729	307	128957	3432
L83	Neck syndrome	N92	Trigeminal neuralgia	1.557	1002	128262	15012
L83	Neck syndrome	N93	Carpal tunnel syndrome	1.87	16598	112666	189883
L83	Neck syndrome	N94	Peripheral neuritis/neuropathy	1.586	5049	124215	80250
P75	Somatization disorder	L83	Neck syndrome	1.627	1282	127982	16343
L83	Neck syndrome	P78	Neuraesthenia/surmenage	1.869	236	129028	2259
L84	Back syndrome without radiating pain	L86	Back syndrome with radiating pain	1.703	6147	18989	482774
L84	Back syndrome without radiating pain	L86/84/83	Neck/Back syndrome	1.893	6053	19083	427268
L84	Back syndrome without radiating pain	L88.01	Ankylosing spondylitis	8.369	378	24758	6145
L84	Back syndrome without radiating pain	L89	Osteoarthrosis of hip	1.605	1667	23469	122261
L84	Back syndrome without radiating pain	L92	Shoulder syndrome	1.596	6240	18896	503871
L84	Back syndrome without radiating pain	L99	Musculoskeletal disease, other	1.528	1234	23902	94033
N75	Benign neoplasm nervous system	L84	Back syndrome without radiating pain	1.574	219	24917	15748
L84	Back syndrome without radiating pain	N92	Trigeminal neuralgia	1.654	228	24908	15786
L84	Back syndrome without radiating pain	N94	Peripheral neuritis/neuropathy	1.557	1065	24071	84234
L84	Back syndrome without radiating pain	P71	Organic psychosis other	1.579	1108	24028	82480
P75	Somatization disorder	L84	Back syndrome without radiating pain	1.597	229	24907	17396
L85	Acquired deformity of spine	L86	Back syndrome with radiating pain	1.578	28591	95126	460330
L85	Acquired deformity of spine	L86/84/83	Neck/Back syndrome	2.851	36104	87613	397217
L85	Acquired deformity of spine	L89	Osteoarthrosis of hip	1.844	7927	115790	116001
L85	Acquired deformity of spine	L91	Osteoarthrosis other	1.618	27591	96126	452627
L85	Acquired deformity of spine	L95	Osteoporosis	2.044	20650	103067	252602
N18	Paralysis/weakness	L85	Acquired deformity of spine	1.769	234	123483	3718
L85	Acquired deformity of spine	N85	Congenital anomaly neurological	2.702	410	123307	3329
L85	Acquired deformity of spine	N99	Neurological disease, other	1.767	1121	122596	17137
P75	Somatization disorder	L85	Acquired deformity of spine	1.551	1154	122563	16471
L85	Acquired deformity of spine	P85	Mental retardation	2.162	1011	122706	11552
L86	Back syndrome with radiating pain	L86/84/83	Neck/Back syndrome	2.996	134615	354306	298706
L86	Back syndrome with radiating pain	L89	Osteoarthrosis of hip	1.722	26858	462063	97070
L86	Back syndrome with radiating pain	L92	Shoulder syndrome	1.552	110250	378671	399861
L86	Back syndrome with radiating pain	N93	Carpal tunnel syndrome	1.549	48680	440241	157801
L86	Back syndrome with radiating pain	N94	Peripheral neuritis/neuropathy	1.527	18479	470442	66820
L86	Back syndrome with radiating pain	P78	Neuraesthenia/surmenage	1.52	622	488299	1873
L86/84/83	Neck/Back syndrome	L88.01	Ankylosing spondylitis	1.596	1304	432017	5219
L86/84/83	Neck/Back syndrome	L89	Osteoarthrosis of hip	2.29	35333	397988	88595
L86/84/83	Neck/Back syndrome	L90	Osteoarthrosis of knee	1.813	79802	353519	260072
L86/84/83	Neck/Back syndrome	L91	Osteoarthrosis other	1.621	99686	333635	380532
L86/84/83	Neck/Back syndrome	L92	Shoulder syndrome	1.732	108736	324585	401375
L86/84/83	Neck/Back syndrome	L95	Osteoporosis	1.596	61350	371971	211902
L86/84/83	Neck/Back syndrome	L99	Musculoskeletal disease, other	1.545	19728	413593	75539
L86/84/83	Neck/Back syndrome	N85	Congenital anomaly neurological	2.099	859	432462	2880
L86/84/83	Neck/Back syndrome	N93	Carpal tunnel syndrome	1.873	48105	385216	158376
L86/84/83	Neck/Back syndrome	N94	Peripheral neuritis/neuropathy	1.848	20317	413004	64982
P75	Somatization disorder	L86/84/83	Neck/Back syndrome	1.649	3519	429802	14106
L86/84/83	Neck/Back syndrome	P78	Neuraesthenia/surmenage	2.089	628	432693	1867
L88	Rheumatoid/seropositive arthritis	L88.01	Ankylosing spondylitis	6.756	376	33089	6147
L88	Rheumatoid/seropositive arthritis	L91	Osteoarthrosis other	2.005	10373	23092	469845
L88	Rheumatoid/seropositive arthritis	L95	Osteoporosis	2.076	7377	26088	265875
L88	Rheumatoid/seropositive arthritis	L99	Musculoskeletal disease, other	3.611	3749	29716	91518
L88	Rheumatoid/seropositive arthritis	R99	Respiratory disease other	1.837	2286	31179	110459
L88	Rheumatoid/seropositive arthritis	S91	Psoriasis	1.889	1888	31577	105197
L88.01	Ankylosing spondylitis	L89	Osteoarthrosis of hip	1.846	405	6118	123523
L88.01	Ankylosing spondylitis	L95	Osteoporosis	1.77	598	5925	272654
L88.01	Ankylosing spondylitis	L99	Musculoskeletal disease, other	1.958	332	6191	94935
L88.01	Ankylosing spondylitis	S91	Psoriasis	1.917	456	6067	106629
L89	Osteoarthrosis of hip	L90	Osteoarthrosis of knee	2.253	35954	87974	303920
L89	Osteoarthrosis of hip	L91	Osteoarthrosis other	1.512	34861	89067	445357
L89	Osteoarthrosis of hip	L92	Shoulder syndrome	1.74	32748	91180	477363
L89	Osteoarthrosis of hip	N93	Carpal tunnel syndrome	1.696	12360	111568	194121
L89	Osteoarthrosis of hip	N94	Peripheral neuritis/neuropathy	1.521	5579	118349	79720
L89	Osteoarthrosis of hip	P78	Neuraesthenia/surmenage	1.579	115	123813	2380
L90	Osteoarthrosis of knee	L91	Osteoarthrosis other	1.547	97061	242813	383157
L90	Osteoarthrosis of knee	L92	Shoulder syndrome	1.809	90119	249755	419992
L90	Osteoarthrosis of knee	L99	Musculoskeletal disease, other	1.585	17821	322053	77446
L90	Osteoarthrosis of knee	N93	Carpal tunnel syndrome	1.858	35904	303970	170577
L90	Osteoarthrosis of knee	T83/82	Overweight/Obesity	2.362	161604	178270	734493
L90	Osteoarthrosis of knee	T92	Gout	1.663	21293	318581	99123
L91	Osteoarthrosis other	L92	Shoulder syndrome	1.714	118073	362145	392038
L91	Osteoarthrosis other	L93	Tennis elbow	1.536	24156	456062	118168
L91	Osteoarthrosis other	L95	Osteoporosis	1.536	87965	392253	185287
L91	Osteoarthrosis other	L99	Musculoskeletal disease, other	1.639	24498	455720	70769
L91	Osteoarthrosis other	N93	Carpal tunnel syndrome	1.925	52240	427978	154241
L91	Osteoarthrosis other	T92	Gout	1.923	28305	451913	92111
L92	Shoulder syndrome	L93	Tennis elbow	2.119	40893	469218	101431
L92	Shoulder syndrome	L99	Musculoskeletal disease, other	1.52	22690	487421	72577
L92	Shoulder syndrome	N93	Carpal tunnel syndrome	2.078	61770	448341	144711
L92	Shoulder syndrome	N94	Peripheral neuritis/neuropathy	1.59	20894	489217	64405
L92	Shoulder syndrome	P78	Neuraesthenia/surmenage	1.555	626	509485	1869
L93	Tennis elbow	N93	Carpal tunnel syndrome	2.376	21492	120832	184989
L93	Tennis elbow	N94	Peripheral neuritis/neuropathy	1.547	5563	136761	79736
L95	Osteoporosis	L99	Musculoskeletal disease, other	1.791	17206	256046	78061
N18	Paralysis/weakness	L95	Osteoporosis	1.719	399	272853	3553
L95	Osteoporosis	R95	Chronic obstructive pulmonary disease	1.503	21119	252133	187153
L95	Osteoporosis	R99	Respiratory disease other	1.628	16820	256432	95925
L95	Osteoporosis	Y77	Malignant neoplasm prostate	1.665	2509	270743	52702
L99	Musculoskeletal disease, other	N85	Congenital anomaly neurological	1.539	158	95109	3581
L99	Musculoskeletal disease, other	N92	Trigeminal neuralgia	1.565	837	94430	15177
L99	Musculoskeletal disease, other	P78	Neuraesthenia/surmenage	4.013	289	94978	2206
