Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
P73	Affective psychosis	P86	Anorexia nervosa/bulimia	2.024	2272	271468	8196
P73	Affective psychosis	P98	Psychosis not otherwise specified/other	2.622	3880	269860	16242
P75	Somatization disorder	P74	Anxiety disorder/anxiety state	2.831	8919	759910	8706
P74	Anxiety disorder/anxiety state	P76	Depressive disorder	1.95	188559	580270	330528
P74	Anxiety disorder/anxiety state	P78	Neuraesthenia/surmenage	1.59	1044	767785	1451
P74	Anxiety disorder/anxiety state	P79.01	obsesive compulsive disorder	2.001	5258	763571	6518
P74	Anxiety disorder/anxiety state	P79.02	Phobia	2.38	15398	753431	15084
P74	Anxiety disorder/anxiety state	P80	Personality disorder	2.193	15665	753164	19107
P74	Anxiety disorder/anxiety state	P81	Hyperkinetic disorder	1.729	1719	767110	2389
P74	Anxiety disorder/anxiety state	P82	Post-traumatic stress disorder	2.089	2427	766402	2962
P74	Anxiety disorder/anxiety state	P86	Anorexia nervosa/bulimia	1.745	5598	763231	4870
P75	Somatization disorder	P76	Depressive disorder	2.224	5439	12186	513648
P75	Somatization disorder	P78	Neuraesthenia/surmenage	3.619	59	17566	2436
P75	Somatization disorder	P79.01	obsesive compulsive disorder	5.467	401	17224	11375
P75	Somatization disorder	P79.02	Phobia	3.514	690	16935	29792
P75	Somatization disorder	P80	Personality disorder	4.96	1011	16614	33761
P75	Somatization disorder	P82	Post-traumatic stress disorder	2.599	88	17537	5301
P75	Somatization disorder	P86	Anorexia nervosa/bulimia	1.553	134	17491	10334
P75	Somatization disorder	P98	Psychosis not otherwise specified/other	2.626	312	17313	19810
P75	Somatization disorder	S86	Dermatitis seborrhoeic	1.679	1405	16220	153013
P76	Depressive disorder	P78	Neuraesthenia/surmenage	3.173	1063	518024	1432
P76	Depressive disorder	P79.01	obsesive compulsive disorder	2.68	3773	515314	8003
P76	Depressive disorder	P79.02	Phobia	1.932	8503	510584	21979
P76	Depressive disorder	P80	Personality disorder	3.686	13297	505790	21475
P76	Depressive disorder	P81	Hyperkinetic disorder	2.272	1134	517953	2974
P76	Depressive disorder	P82	Post-traumatic stress disorder	2.495	1942	517145	3447
P76	Depressive disorder	P86	Anorexia nervosa/bulimia	2.259	3595	515492	6873
P76	Depressive disorder	P98	Psychosis not otherwise specified/other	1.917	5168	513919	14954
P78	Neuraesthenia/surmenage	P79.02	Phobia	2.175	69	2426	30413
P78	Neuraesthenia/surmenage	P80	Personality disorder	2.927	83	2412	34689
P78	Neuraesthenia/surmenage	T81	Goitre	1.554	168	2327	99200
P78	Neuraesthenia/surmenage	T86	Hypothyroidism/myxoedema	1.523	444	2051	298892
P78	Neuraesthenia/surmenage	T99	Endocrine/metabolic/nutrition disease, other	1.514	353	2142	336658
P78	Neuraesthenia/surmenage	YX99	Genital disease, other	2.117	68	2427	20883
P79.01	obsesive compulsive disorder	P79.02	Phobia	4.187	604	11172	29878
P79.01	obsesive compulsive disorder	P80	Personality disorder	6.219	996	10780	33776
P79.01	obsesive compulsive disorder	P81	Hyperkinetic disorder	5.238	122	11654	3986
P79.01	obsesive compulsive disorder	P85	Mental retardation	3.487	223	11553	12340
P79.01	obsesive compulsive disorder	P86	Anorexia nervosa/bulimia	3.949	233	11543	10235
P79.01	obsesive compulsive disorder	P98	Psychosis not otherwise specified/other	4.443	405	11371	19717
P79.02	Phobia	P80	Personality disorder	3.232	1296	29186	33476
P79.02	Phobia	P81	Hyperkinetic disorder	1.695	92	30390	4016
P79.02	Phobia	P82	Post-traumatic stress disorder	2.42	150	30332	5239
P79.02	Phobia	P86	Anorexia nervosa/bulimia	1.88	351	30131	10117
P79.02	Phobia	P98	Psychosis not otherwise specified/other	1.683	372	30110	19750
P80	Personality disorder	P81	Hyperkinetic disorder	5.598	351	34421	3757
P80	Personality disorder	P82	Post-traumatic stress disorder	2.872	175	34597	5214
P80	Personality disorder	P85	Mental retardation	4.851	842	33930	11721
P80	Personality disorder	P86	Anorexia nervosa/bulimia	6.099	888	33884	9580
P80	Personality disorder	P98	Psychosis not otherwise specified/other	7.424	1774	32998	18348
P80	Personality disorder	X75	Malignant neoplasm cervix	1.719	81	34691	5117
P81	Hyperkinetic disorder	P85	Mental retardation	4.096	100	4008	12463
P81	Hyperkinetic disorder	P86	Anorexia nervosa/bulimia	2.486	56	4052	10412
P81	Hyperkinetic disorder	P98	Psychosis not otherwise specified/other	2.728	99	4009	20023
P85	Mental retardation	P98	Psychosis not otherwise specified/other	11.164	981	11582	19141
P85	Mental retardation	S86	Dermatitis seborrhoeic	1.802	1122	11441	153296
P86	Anorexia nervosa/bulimia	P98	Psychosis not otherwise specified/other	2.138	151	10317	19971
P86	Anorexia nervosa/bulimia	R95	Chronic obstructive pulmonary disease	1.519	227	10241	208045
R84	Malignant neoplasm bronchus/lung	R85	Malignant neoplasm respiratory, other	4.296	825	29957	8893
R84	Malignant neoplasm bronchus/lung	R95	Chronic obstructive pulmonary disease	3.414	9800	20982	198472
R84	Malignant neoplasm bronchus/lung	R99	Respiratory disease other	2.502	3419	27363	109326
R84	Malignant neoplasm bronchus/lung	T71	Malignant neoplasm thyroid	2.345	94	30688	6414
R84	Malignant neoplasm bronchus/lung	U75	Malignant neoplasm of kidney	1.68	355	30427	12142
R84	Malignant neoplasm bronchus/lung	U76	Malignant neoplasm of bladder	2.094	1599	29183	33902
R84	Malignant neoplasm bronchus/lung	X75	Malignant neoplasm cervix	2.732	53	30729	5145
R84	Malignant neoplasm bronchus/lung	X76	Malignant neoplasm breast female	1.842	579	30203	69451
R84	Malignant neoplasm bronchus/lung	X77	Malignant neoplasm female genital other	1.787	157	30625	17977
R85	Malignant neoplasm respiratory, other	R95	Chronic obstructive pulmonary disease	2.022	2286	7432	205986
R85	Malignant neoplasm respiratory, other	R99	Respiratory disease other	1.597	726	8992	112019
R85	Malignant neoplasm respiratory, other	T71	Malignant neoplasm thyroid	4.54	52	9666	6456
R85	Malignant neoplasm respiratory, other	T80	Congenital anomaly endocrine/metab.	1.817	100	9618	17450
R85	Malignant neoplasm respiratory, other	T86	Hypothyroidism/myxoedema	2.995	1333	8385	298003
R85	Malignant neoplasm respiratory, other	U76	Malignant neoplasm of bladder	1.801	463	9255	35038
R95	Chronic obstructive pulmonary disease	R96	Asthma	2.671	21168	187104	194503
R95	Chronic obstructive pulmonary disease	R99	Respiratory disease other	5.058	31244	177028	81501
R95	Chronic obstructive pulmonary disease	U76	Malignant neoplasm of bladder	1.734	8133	200139	27368
R96	Asthma	R99	Respiratory disease other	2.81	16507	199164	96238
R96	Asthma	S87	Dermatitis/atopic eczema	1.548	9463	206208	74079
R99	Respiratory disease other	T81	Goitre	1.589	5119	107626	94249
S77	Malignant neoplasm of skin	S86	Dermatitis seborrhoeic	1.571	7936	100684	146482
S77	Malignant neoplasm of skin	S99	Skin disease, other	1.541	2005	106615	38588
S77	Malignant neoplasm of skin	Y85	Benign prostatic hypertrophy	1.538	21806	86814	283399
S86	Dermatitis seborrhoeic	S87	Dermatitis/atopic eczema	1.893	7319	147099	76223
S86	Dermatitis seborrhoeic	S91	Psoriasis	1.953	9856	144562	97229
S86	Dermatitis seborrhoeic	S96	Acne	1.874	3757	150661	38273
S86	Dermatitis seborrhoeic	S99	Skin disease, other	2.798	4941	149477	35652
S87	Dermatitis/atopic eczema	S91	Psoriasis	1.59	4476	79066	102609
S87	Dermatitis/atopic eczema	S99	Skin disease, other	1.801	1964	81578	38629
S96	Acne	S99	Skin disease, other	3.459	1754	40276	38839
S99	Skin disease, other	Y85	Benign prostatic hypertrophy	1.661	4137	36456	301068
T71	Malignant neoplasm thyroid	T81	Goitre	10.326	1943	4565	97425
T71	Malignant neoplasm thyroid	T85	Hyperthyroidism/thyrotoxicosis	3.171	437	6071	57577
T71	Malignant neoplasm thyroid	T86	Hypothyroidism/myxoedema	2.951	1849	4659	297487
T71	Malignant neoplasm thyroid	T99	Endocrine/metabolic/nutrition disease, other	2.202	1297	5211	335714
T71	Malignant neoplasm thyroid	U75	Malignant neoplasm of kidney	3.952	75	6433	12422
T80	Congenital anomaly endocrine/metab.	T85	Hyperthyroidism/thyrotoxicosis	4.42	1155	16395	56859
T81	Goitre	T85	Hyperthyroidism/thyrotoxicosis	4.293	8237	91131	49777
T81	Goitre	T86	Hypothyroidism/myxoedema	1.752	20293	79075	279043
T81	Goitre	T99	Endocrine/metabolic/nutrition disease, other	1.704	15917	83451	321094
T81	Goitre	U75	Malignant neoplasm of kidney	1.788	522	98846	11975
T81	Goitre	Y85	Benign prostatic hypertrophy	1.681	4441	94927	300764
T83/82	Overweight/Obesity	T90	Diabetes non-insulin dependent	2.584	247868	648229	291862
T83/82	Overweight/Obesity	T92	Gout	2.004	52320	843777	68096
T83/82	Overweight/Obesity	T99	Endocrine/metabolic/nutrition disease, other	1.679	132005	764092	205006
T83/82	Overweight/Obesity	U88	Glomerulonephritis/nephrosis	1.559	11368	884729	17257
T83/82	Overweight/Obesity	U99.01	Chronic renal failure	1.579	99727	796370	170389
T85	Hyperthyroidism/thyrotoxicosis	T86	Hypothyroidism/myxoedema	1.918	11653	46361	287683
T85	Hyperthyroidism/thyrotoxicosis	T89	Diabetes insulin dependent	1.54	527	57487	20520
T86	Hypothyroidism/myxoedema	T89	Diabetes insulin dependent	1.776	2800	296536	18247
T86	Hypothyroidism/myxoedema	T99	Endocrine/metabolic/nutrition disease, other	1.77	47821	251515	289190
T89	Diabetes insulin dependent	T90	Diabetes non-insulin dependent	3.925	7549	13498	532181
T89	Diabetes insulin dependent	U88	Glomerulonephritis/nephrosis	7.333	1111	19936	27514
T89	Diabetes insulin dependent	U99.01	Chronic renal failure	2.151	2550	18497	267566
T90	Diabetes non-insulin dependent	T93	Lipid disorder	1.691	313575	226155	986344
T90	Diabetes non-insulin dependent	U88	Glomerulonephritis/nephrosis	3.443	13850	525880	14775
T90	Diabetes non-insulin dependent	U99.01	Chronic renal failure	1.763	97139	442591	172977
T92	Gout	T93	Lipid disorder	1.566	69125	51291	1230794
T92	Gout	T99	Endocrine/metabolic/nutrition disease, other	5.105	45181	75235	291830
T92	Gout	U88	Glomerulonephritis/nephrosis	1.931	2656	117760	25969
T92	Gout	U99.01	Chronic renal failure	3.254	31698	88718	238418
T93	Lipid disorder	U88	Glomerulonephritis/nephrosis	1.52	16507	1283412	12118
T99	Endocrine/metabolic/nutrition disease, other	U75	Malignant neoplasm of kidney	1.609	2268	334743	10229
T99	Endocrine/metabolic/nutrition disease, other	U88	Glomerulonephritis/nephrosis	1.929	5913	331098	22712
T99	Endocrine/metabolic/nutrition disease, other	U99	Urinary disease, other	1.501	4002	333009	20334
T99	Endocrine/metabolic/nutrition disease, other	U99.01	Chronic renal failure	3.233	69069	267942	201047
T99	Endocrine/metabolic/nutrition disease, other	YX15	Infertility	1.809	4936	332075	31807
U75	Malignant neoplasm of kidney	U76	Malignant neoplasm of bladder	3.479	857	11640	34644
U75	Malignant neoplasm of kidney	U88	Glomerulonephritis/nephrosis	2.325	353	12144	28272
U75	Malignant neoplasm of kidney	U99	Urinary disease, other	2.224	286	12211	24050
U75	Malignant neoplasm of kidney	U99.01	Chronic renal failure	4.111	4235	8262	265881
U75	Malignant neoplasm of kidney	X77	Malignant neoplasm female genital other	1.915	110	12387	18024
U75	Malignant neoplasm of kidney	Y77	Malignant neoplasm prostate	1.591	732	11765	54479
U75	Malignant neoplasm of kidney	Y78	Malignant neoplasm male genital other	2.529	35	12462	3054
U76	Malignant neoplasm of bladder	U99	Urinary disease, other	3.552	1430	34071	22906
U76	Malignant neoplasm of bladder	U99.01	Chronic renal failure	1.612	7924	27577	262192
U76	Malignant neoplasm of bladder	X75	Malignant neoplasm cervix	2.93	47	35454	5151
U76	Malignant neoplasm of bladder	X77	Malignant neoplasm female genital other	2.368	183	35318	17951
U76	Malignant neoplasm of bladder	Y78	Malignant neoplasm male genital other	2.281	105	35396	2984
U88	Glomerulonephritis/nephrosis	U99	Urinary disease, other	1.777	486	28139	23850
U88	Glomerulonephritis/nephrosis	U99.01	Chronic renal failure	2.421	7298	21327	262818
U99	Urinary disease, other	U99.01	Chronic renal failure	2.123	5014	19322	265102
U99	Urinary disease, other	X74	Pelvic inflammatory disease	2.352	61	24275	6562
U99	Urinary disease, other	X75	Malignant neoplasm cervix	4.814	139	24197	5059
U99	Urinary disease, other	X77	Malignant neoplasm female genital other	2.249	269	24067	17865
U99	Urinary disease, other	Y77	Malignant neoplasm prostate	1.944	1373	22963	53838
U99	Urinary disease, other	Y78	Malignant neoplasm male genital other	2.015	55	24281	3034
U99	Urinary disease, other	Y85	Benign prostatic hypertrophy	2.037	6025	18311	299180
U99	Urinary disease, other	YX99	Genital disease, other	2.192	181	24155	20770
X74	Pelvic inflammatory disease	YX15	Infertility	2.336	650	5973	36093
X74	Pelvic inflammatory disease	YX99	Genital disease, other	3.53	467	6156	20484
X75	Malignant neoplasm cervix	X77	Malignant neoplasm female genital other	7.401	378	4820	17756
X76	Malignant neoplasm breast female	X77	Malignant neoplasm female genital other	1.612	1379	68651	16755
X77	Malignant neoplasm female genital other	YX99	Genital disease, other	2.453	308	17826	20643
Y77	Malignant neoplasm prostate	Y78	Malignant neoplasm male genital other	1.605	132	55079	2957
YX15	Infertility	YX99	Genital disease, other	2.709	2183	34560	18768
