chapter,icpc2_code,description,grouped_codes
Cardiovascular,K83,Heart valve disease NOS,
Cardiovascular,K84,"Heart disease, other",K84
Cardiovascular,,Rheumatic/heart valve disease,"K71, K83"
Cardiovascular,K74,Ischaemic heart disease w. angina,
Cardiovascular,K75,Acute myocardial infarction,
Cardiovascular,K76,Ischaemic heart disease without angina,
Cardiovascular,,Ischemic heart disease,"K74, K75, K76"
Cardiovascular,K78,Atrial fibrillation/flutter,
Cardiovascular,K79,Paroxysmal tachycardia,
Cardiovascular,K80,Cardiac arrhythmia NOS,
Cardiovascular,,Cardiac arrhythmia,"K78, K79, K80"
Cardiovascular,K86,Hypertension uncomplicated,
Cardiovascular,K87,Hypertension complicated,
Cardiovascular,,Hypertension,"K86, K87"
Cardiovascular,K89,Transient cerebral ischaemia,
Cardiovascular,K90,Stroke/cerebrovascular accident,
Cardiovascular,K91,Cerebrovascular disease,
Cardiovascular,,Cerebrovascular disease,"K89, K90, K91"
Cardiovascular,K94,Phlebitis/thrombophlebitis,
Cardiovascular,K95,Varicose veins of leg,
Cardiovascular,,Phebitis/varicose veins,"K94, K95"
Musculoskeletal,L71,Malignant neoplasm musculoskeletal,L71
Musculoskeletal,L85,Acquired deformity of spine,L85
Musculoskeletal,L88,Rheumatoid/seropositive arthritis,L88
Musculoskeletal,L92,Shoulder syndrome,L92
Musculoskeletal,L93,Tennis elbow,L93
Musculoskeletal,L95,Osteoporosis,L95
Musculoskeletal,L82,Congenital anomaly musculoskeletal,L82
Musculoskeletal,L99,Musculoskeletal disease other,L99
Musculoskeletal,L83,Neck syndrome,
Musculoskeletal,L84,Back syndrome without radiating pain,
Musculoskeletal,L86,Back syndrome with radiating pain,
Musculoskeletal,,Neck/back syndrome,"L83, L84, L86"
Musculoskeletal,L89,Osteoarthrosis of hip,
Musculoskeletal,L90,Osteoarthrosis of knee,
Musculoskeletal,L91,Osteoarthrosis other,
Musculoskeletal,,Osteoarthrosis,"L89, L90, L91"
Neurological,N73,"Neurological infection, other",N73
Neurological,N74,Malignant neoplasm nervous system,N74
Neurological,N86,Multiple sclerosis,N86
Neurological,N87,Parkinsonism,N87
Neurological,N88,Epilepsy,N88
Neurological,N92,Trigeminal neuralgia,N92
Neurological,N75,Benign neoplasm nervous system,
Neurological,N76,Neoplasm nervous system unspec.,
Neurological,,Benign/unspecified nervous system neoplasm,"N75, N76"
Neurological,N85,Congenital anomaly neurological,N85
Neurological,N89,Migraine,
Neurological,N90,Cluster headache,
Neurological,,Migraine/headache,"N89, N90"
Neurological,N93,Carpal tunnel syndrome,N93
Neurological,N94,Peripheral neuritis/neuropathy,N94
Neurological,N99,"Neurological disease, other",N99
Psychological,P15,Chronic alcohol abuse,P15
Psychological,P17,Tobacco abuse,P17
Psychological,P19,Drug abuse,P19
Psychological,P70,Dementia,P70
Psychological,P78,Neuraesthenia/surmenage,P78
Psychological,P79,Phobia/compulsive disorder,P79
Psychological,P81,Hyperkinetic disorder,P81
Psychological,P85,Mental retardation,P85
Psychological,P86,Anorexia nervosa/bulimia,P86
Psychological,P71,Organic psychosis other,
Psychological,P73,Affective psychosis,
Psychological,P98,Psychosis NOS/other,
Psychological,,Psychosis,"P71, P73, P98"
Psychological,P72,Schizophrenia,P72
Psychological,P80,Personality disorder,P80
Psychological,P74,Anxiety disorder/anxiety state,
Psychological,P75,Somatization disorder,
Psychological,P82,Post-traumatic stress disorder,
Psychological,,Anxiety/somatization/post-traumatic stress,"P74, P75, P82"
Psychological,P76,Depressive disorder,P76
Respiratory,R90,Hypertrophy tonsils/adenoids,R90
Respiratory,R96,Asthma,R96
Respiratory,R95,Chronic obstructive pulmonary disease,R95
Respiratory,R84,Malignant neoplasm bronchus/lung,R84
Respiratory,R85,"Malignant neoplasm respiratory, other",R85
Respiratory,R99,"Respiratory disease, other",R99
Skin,S77,Malignant neoplasm of skin,S77
Skin,S91,Psoriasis,S91
Skin,S96,Acne,S96
Skin,S86,Dermatitis seborrhoeic,
Skin,S87,Dermatitis/atopic eczema,
Skin,,Dermatitis/atopic eczema,"S86, S87"
Skin,S99,"Skin disease, other",S99
Endocrine/Metabolic and Nutritional,T71,Malignant neoplasm thyroid,T71
Endocrine/Metabolic and Nutritional,T73,Neoplasm endocrine oth/unspecified,T73
Endocrine/Metabolic and Nutritional,T80,Congenital anom endocrine/metab.,T80
Endocrine/Metabolic and Nutritional,T81,Goitre,T81
Endocrine/Metabolic and Nutritional,T85,Hyperthyroidism/thyrotoxicosis,T85
Endocrine/Metabolic and Nutritional,T86,Hypothyroidism/myxoedema,T86
Endocrine/Metabolic and Nutritional,T92,Gout,T92
Endocrine/Metabolic and Nutritional,T93,Lipid disorder,T93
Endocrine/Metabolic and Nutritional,T80,Congenital anom endocrine/metab.,T80
Endocrine/Metabolic and Nutritional,T99,Endocrine/metabolic/nutritional disease other,T99
Endocrine/Metabolic and Nutritional,T82,Obesity,
Endocrine/Metabolic and Nutritional,T83,Overweight,
Endocrine/Metabolic and Nutritional,,Overweight/obesity,"T82, T83"
Endocrine/Metabolic and Nutritional,T89,Diabetes insulin dependent,
Endocrine/Metabolic and Nutritional,T90,Diabetes non-insulin dependent,
Endocrine/Metabolic and Nutritional,,Diabetes,"T89, T90"
Urological,U88,Glomerulonephritis/nephrosis,U88
Urological,U99,"Urinary disease, other",U99
Urological,U99.01,Chronic renal failure,U99.01
Urological,U75,Malignant neoplasm of kidney,
Urological,U76,Malignant neoplasm of bladder,
Urological,U77,Malignant neoplasm urinary other,
Urological,,Urinary cancer,"U75, U76, U77"
"Pregnancy, Childbearing, Family Planning",W15,Infertility/subfertility,W15
"Pregnancy, Childbearing, Family Planning",W72,Malignant neoplasm related to pregnancy,W72
Female Genital,X74,Pelvic inflammatory disease,X74
Female Genital,X75,Malignant neoplasm cervix,
Female Genital,X76,Malignant neoplasm breast female,X76
Female Genital,X77,Malignant neoplasm genital other,
Female Genital,,Genital female cancer,"X75, X77"
Female Genital,X99,"Genital disease, other",X99
Male Genital,Y85,Benign prostatic hypertrophy,Y85
Male Genital,Y77,Malignant neoplasm prostate,
Male Genital,Y78,Malign neoplasm male genital other,
Male Genital,,Male genital cancer,"Y77, Y78"
